lemma,pos,semantic_relationship,sense_source,sense_target
Deckung,noun,broader,Maßnahme der Ab-/Bedeckung von etwas und Ergebnis dieser Maßnahme,"Struktur oder Material, das ein Gebäude abdeckt."
Deckung,noun,broader,"Maßnahme, um eine Übreinstimmung herbeizuführen, und Ergebnis dieser Maßnahme",Das Erreichen eines bestimmten geografischen Raums mit dem eigenen Produkt oder der eigenen Dienstleistung.
Diät,noun,broader,"spezielle Ernährung, (medizinischer) Ernährungsplan","Eine kontrollierte Ernährungsweise, um Gewicht zu verlieren oder die Gesundheit zu beeinflussen."
Diät,noun,broader,Schlankheitskur,"Eine kontrollierte Ernährungsweise, um Gewicht zu verlieren oder die Gesundheit zu beeinflussen."
Diamant,noun,narrower,"hart|härtester, aus Kohlenstoff bestehender Kristall mit starker Lichtbrechung, Mineral, Edelstein, Heilstein",Sehr harte Modifikation des Kohlenstoffs
Ding,noun,broader,Angelegenheit (verallgemeinernd),"Das, was als gesonderte Eigenheit, Eigenschaft oder Konzept existierend betrachtet wird."
Doktorin,noun,broader,weibliche Person mit medizinischer Ausbildung,"Weibliche Person, die ein Studium der Medizin abgeschlossen hat und deren Beruf es ist, Krankheiten bei Patienten zu diagnostizieren und zu heilen."
Doktorin,noun,narrower,"weibliche Trägerin des akademischen Grades, den man nach erfolgreicher Promotion und erfolgter Verleihung durch eine Hochschule führen darf","Weibliche Person, die ein Studium der Medizin abgeschlossen hat und deren Beruf es ist, Krankheiten bei Patienten zu diagnostizieren und zu heilen."
Dose,noun,broader,kleiner Behälter mit Deckel zur Aufbewahrung von Objekten,"Eine verzinkte Blechbüchse, meist aus Blech, für konserviertes Essen wie zum Beispiel Früchte, Fleisch oder Fisch."
Dose,noun,narrower,Bezeichnung der primären weiblichen Geschlechtsorgane,"Der untere Teil des weiblichen Fortpflanzungsorgans ein feuchter Kanal bei weiblichen Säugetieren, der von der Labia Minora bis zum Uterus reicht."
Drei,noun,exact,die natürliche Zahl zwischen der Zwei und der Vier,Die Ziffer „3“.
Drei,noun,exact,"die Ziffer Drei (3, ٣, 三, 叄)",Die Ziffer „3“.
Drei,noun,broader,"„Befriedigend“, eine mittelmäßige Zeugnisnote",Die drittbeste und viertschlechteste Schulnotenstufe in Deutschland.
Drei,noun,broader,"„Befriedigend“, eine mittelmäßige Zeugnisnote",Die drittbeste und drittschlechteste Schulnotenstufe in Österreiche.
Dreier,noun,broader,die Schulnote befriedigend,Die drittbeste und viertschlechteste Schulnotenstufe in Deutschland.
Dreier,noun,broader,die Schulnote befriedigend,Die drittbeste und drittschlechteste Schulnotenstufe in Österreiche.
Drohne,noun,narrower,männliche Biene,"Männliche Biene oder Wespe, die nicht arbeitet und nur existiert um die Königin zu befruchten."
Drohne,noun,exact,unbemanntes Flugzeug/Fluggerät,"Ferngesteuertes, unbemanntes Flugzeug."
Durchbruch,noun,narrower,"das Durchbrechen von etwas; das Abtragen von etwas, sodass ein Durchgang, ein Loch entsteht",Das Durchbrechen eines Hindernisses.
Durchbruch,noun,related,ein erstmaliger großer Erfolg,Eine produktive Idee.
Eichel,noun,exact,Frucht der Eiche,Frucht des Eichenbaums.
Eichel,noun,narrower,das leicht verdickte Ende des Penis,Verdickung am Ende des Penis und der Klitoris.
Eichel,noun,narrower,vordere Verdickung der weiblichen Klitoris,Verdickung am Ende des Penis und der Klitoris.
Einleitung,noun,narrower,"am Beginn befindlicher, in der Regel eigenständiger Teil eines Schriftstückes oder Werkes","Ein erster Abschnitt, ein Vorwort, ein Einstieg, eine Einleitung, eine Art vorgezogener Beginn vor dem eigentlichen Anfang."
Einleitung,noun,broader,Herbeiführung oder Inangriffnahme von etwas,Ein Mittel oder ein Maßnahme oder eine Tätigkeit zur Vorbereitung von...
Eins,noun,exact,die natürliche Zahl zwischen Null und Zwei,Die Ziffer „1“.
Eins,noun,exact,die natürliche Zahl zwischen Null und Zwei,"Die Kardinalzahl, welche direkt auf Null folgt und der Zwei vorangeht, in römischen Zahlen als I repräsentiert, und sonst als 1."
Eins,noun,broader,die arabische Ziffer 1 oder die römische Ziffer Ⅰ (I),Die Ziffer „1“.
Eins,noun,exact,die arabische Ziffer 1 oder die römische Ziffer Ⅰ (I),"Die Kardinalzahl, welche direkt auf Null folgt und der Zwei vorangeht, in römischen Zahlen als I repräsentiert, und sonst als 1."
Eins,noun,broader,beste Schulnote,Beste Schulnotenstufe in Deutschland.
Eins,noun,broader,beste Schulnote,Beste Schulnotenstufe in Österreich.
Einser,noun,broader,die Schulnote sehr gut,Beste Schulnotenstufe in Deutschland.
Einser,noun,broader,die Schulnote sehr gut,Beste Schulnotenstufe in Österreich.
Ende,noun,broader,Abschluss eines zeitlichen Vorganges,Der letzte oder finale Teil.
Ende,noun,narrower,Abschluss einer Geschichte zum Beispiel eines Buches oder Filmes,Der oder das letzte Teil.
Ende,noun,broader,"ein Stück, ein Teil",Der oder das letzte Teil.
Engelmacherin,noun,broader,"eine Frau, die illegal Abtreibungen durchführt","Frau, die illegale Abtreibungen vornimmt, häufig unter unhygienischen Bedingungen und mit gefährlichen Methoden."
Engelmacherin,noun,broader,"eine Frau, die Kinder in Pflege hat und diese so unzureichend versorgt, dass sie bald sterben","Pflegemutter, die Kinder in ihrer Obhut absichtlich schlecht versorgt und sterben läßt, um sich am Pflegegeld zu bereichern."
Entbindung,noun,exact,"die Befreiung von etwas, insbesondere von einer Verpflichtung",Das sich einer Pflicht oder Verpflichtung entledigen.
Entbindung,noun,broader,die Geburt eines Kindes,"Die Tatsache oder der Vorgang, ein Kind zu gebären als Höhepunkt und zugleich Ende einer Schwangerschaft."
Ente,noun,exact,"kleinerer Wasservogel aus der Familie der  (Anatidae), speziell",Wasservogel aus der Familie der Anatidae mit einem flachen Schnabel und Schwimmhäuten an den Füßen.
Ente,noun,narrower,"kleinerer Wasservogel aus der Familie der  (Anatidae), speziell::a das Weibchen, b die Hausente <<subdef marker for testing>>",Wasservogel aus der Familie der Anatidae mit einem flachen Schnabel und Schwimmhäuten an den Füßen.
Ente,noun,broader,das Automodell,"Der Citroën 2CV, ein Auto, das nicht mehr hergestellt wird."
Entkalkung,noun,exact,Vorgang des entfernen|Entfernens von Kalk,Das Entfernen von Kalk.
Entkalkung,noun,broader,der Verlust von Kalk,"Der Verlust von Kalzium in Knochen, Zähnen oder Böden."
Epiphanie,noun,narrower,unvermutete Erscheinung oder Selbstoffenbarung einer Gottheit unter den Menschen,Die Erscheinung oder Manifestierung einer Gottheit oder eines übermenschlichen Wesens.
Epiphanie,noun,exact,das Fest „Erscheinung des Herrn“ am 6. Januar,"Ein christliches Fest, bei dem die Erscheinung oder Offenbarung von Gott zur Menschheit in Form von Jesus Christus gefeiert wird."
Erdnuss,noun,broader,Nutzpflanze aus der Familie der Hülsenfrucht|Hülsenfrüchte,"Nussartige Frucht der Erdnusspflanze, die unterirdisch an langen Stengeln wächst."
Erdnuss,noun,narrower,Nutzpflanze aus der Familie der Hülsenfrucht|Hülsenfrüchte,"Pflanze, die ursprünglich aus Amerika stammt und eine essbare Frucht hervorbringt."
Erdnuss,noun,related,Bezeichnung für die Frucht|Früchte von,"Nussartige Frucht der Erdnusspflanze, die unterirdisch an langen Stengeln wächst."
Erfahrung,noun,exact,"Kenntnis, die jemand durch wiederholte Praxis in einem bestimmten Gebiet bekommt","Wissen und Fertigkeiten, die durch das Ausüben einer Tätigkeit gewonnen wurden das Erlangen derselben"
Erfahrung,noun,broader,"belehrendes Erlebnis, das Erkenntnisse zu einer Sache einbringt","Etwas, das dir passiert ist und deine Denkweise und dein Verhalten beeinflusst ein besonderes Ereignis in deinem Leben."
Erscheinung,noun,broader,"ein Umstand, der mit den menschlichen Sinnen wahrgenommen wird",Ein gesehenes Ding ein Phänomen.
Erscheinung,noun,exact,eine plötzliche Veränderung; Manifestation,Ein Akt des unerwarteten Erscheinens oder sichtbar Werdens.
Erscheinung,noun,broader,Auftritt/Wirkung einer Person,Der äußere oder sichtbare Aspekt einer Person oder Sache.
Erscheinung,noun,broader,scheinbares Auftreten von etwas unwirklich|Unwirklichem,Das Erscheinen einer geisterhaften Figur.
Erwerb,noun,broader,"die Handlung des erwerbens, das Erwerben","Das Eigentum eines Rechtes oder eines Gutes, wie z.B. einer Immobilie oder einer Gesellschaft, erhalten."
Erwerb,noun,exact,geistige Aneignung,"Die Aneignung auf einer intellektuellen Ebene, im Sinne des Erwerbens von Wissen bezüglich von etwas."
Ewigkeit,noun,related,ein langer Zeitraum,Ein scheinbar endloser Zeitabschnitt.
Ewigkeit,noun,broader,Zeitlosigkeit ohne Anfang und ohne Ende,Zeit ohne Ende.
Ewigkeit,noun,broader,"Zeitlosigkeit mit Anfang, aber ohne Ende",Zeit ohne Ende.
Führer,noun,narrower,"leitende Person in einer Organisation, Vereinigung oder Bewegung","Eine Person, die führt, regiert, oder in der Verantwortung steht."
Führer,noun,related,"leitende Person in einer Organisation, Vereinigung oder Bewegung","Jemand, der das Verhalten einer Gruppe maßgeblich beeinflusst oder dominiert."
Führer,noun,narrower,"wAdolf Hitler|Adolf Hitler, der ab 1934 „Führer und Reichskanzler“ war","Jemand, der das Verhalten einer Gruppe maßgeblich beeinflusst oder dominiert."
Fünf,noun,exact,die natürliche Zahl zwischen der Vier und der Sechs,Die Ziffer „5“.
Fünf,noun,exact,"die Ziffer Fünf (5, ٥, V (&#8548;), 五, 伍)",Die Ziffer „5“.
Fünf,noun,broader,"„mangelhaft“, an Schulen die zweitschlechteste, an Hochschulen die schlechteste Note",Zweitschlechteste Schulnotenstufe in Deutschland.
Fünfer,noun,broader,"etwas mit Größe, Wert, Maß oder Nummer 5",Schlechteste Schulnotenstufe in Österreich.
Fünfer,noun,broader,"etwas mit Größe, Wert, Maß oder Nummer 5",Zweitschlechteste Schulnotenstufe in Deutschland.
Fünfer,noun,broader,die Schulnote „nicht genügend“ bzw. mangelhaft (5),Schlechteste Schulnotenstufe in Österreich.
Fünfer,noun,broader,die Schulnote „nicht genügend“ bzw. mangelhaft (5),Zweitschlechteste Schulnotenstufe in Deutschland.
Fahrer,noun,narrower,"Person, die ein Fahrzeug steuern|steuert, lenken|lenkt, bedienen|bedient oder fahren|fährt","Jemand, der ein Auto fahren kann."
Fahrer,noun,narrower,"Person, die ein Fahrzeug steuern|steuert, lenken|lenkt, bedienen|bedient oder fahren|fährt","Männliche Person, die ein Auto fahren kann."
Fakultät,noun,narrower,"Teil einer Hochschule, die aus den Angehörigen eines bestimmten Fachs oder Fachbereichs besteht",Eine Abteilung einer Universität.
Fakultät,noun,broader,"mathematische Funktion, die eine natürliche Zahl n auf n! = 1 · 2 · … · n abbilden|abbildet","Mathematische Funktion einer nicht-negativen ganzen Zahl n: Produkt aller positiven ganzen Zahlen, die kleiner oder gleich n sind (geschrieben als n!)"
Feld,noun,broader,"umgrenzte Fläche auf einem Blatt Papier, Spielbrett, Bildschirm oder Ähnliches","Abgegrenzte Fläche auf einem Spielbrett, einem Formular oder einer Tabelle"
Feld,noun,related,"Fachgebiet, Spezialgebiet","Ein Sach- oder Tätigkeitsbereich, der die Sprachwahl mitbestimmt, beispielsweise im Tennisdeutsch oder Schachdeutsch."
Feld,noun,narrower,kurz für Spielfeld,"Abgegrenzte Fläche auf einem Spielbrett, einem Formular oder einer Tabelle"
Feld,noun,narrower,"Teilstück einer Tabelle, das zu genau einer Spalte und einer Zeile gehört","Abgegrenzte Fläche auf einem Spielbrett, einem Formular oder einer Tabelle"
Ferkel,noun,exact,Junges des Hausschweins,Ein junges Schwein.
Ferkel,noun,exact,"Schimpfwort für eine Person (oft Kind), die sich oder ihre Umwelt physisch oder verbal beschmutzt hat","Eine Person, meist ein Kind, die sich oder ihre Umwelt stark verschmutzt hat."
Fettwanst,noun,narrower,Person mit einem dicken Bauch,En sehr dicker Mensch.
Fettwanst,noun,narrower,Person mit einem dicken Bauch,(Herabwürdigend) Eine fette oder übergewichtige Person.
Finte,noun,related,"Handlung (oder Aussage), die etwas vortäuscht und dazu bestimmt ist, jemanden durch eine falsche Annahme zu etwas zu verleiten; die aber dennoch nicht als unlauter empfunden wird","Ein Hinweis, der irreführend oder verfälscht ist und bestimmt ist, die Aufmerksamkeit abzulenken."
Finte,noun,related,"Handlung (oder Aussage), die etwas vortäuscht und dazu bestimmt ist, jemanden durch eine falsche Annahme zu etwas zu verleiten; die aber dennoch nicht als unlauter empfunden wird: Bewegung, die einen Angriff (oder dergleichen) vortäuscht, um den Gegner zu einer für ihn unvorteilhaften Reaktion zu verleiten <<subdef marker for testing>>",Ein irreführendes Manöver (insbesondere um Gefangennahme zu vermeiden).
Flasche,noun,broader,"ein Gefäß zur Aufbewahrung und zum Transport von Flüssigkeiten oder auch Gasen mit charakteristischer bauchiger, zylindrischer, quaderförmiger oder ähnlicher Form (mit Hals) aus verschiedenem Material wie Glas, Plastik, Metall, Keramik","Ein Behälter, üblicherweise aus Glas und mit einem sich verjüngenden Hals, der zur Aufbewahrung von Flüssigkeiten benutzt wird."
Fliege,noun,narrower,fliegendes Insekt der Unterordnung Fliegen (),Gemeines Insekt jede Insektenart aus der Ordnung der Zweiflügler (Diptera).
Fliege,noun,narrower,fliegendes Insekt der Unterordnung Fliegen (),"Ein kleines, schwarzes und fliegendes Insekt ohne Stachel"
Fliege,noun,broader,"Kleidungsstück, das überwiegend von Männern um den Hals getragen wird","Ein um den Halskragen gebundenes Stoffband, das von Männern zu formeller Kleidung getragen wird."
Fliege,noun,broader,verschiedene fliegende Insekten,"Ein kleines, schwarzes und fliegendes Insekt ohne Stachel"
Fliege,noun,broader,verschiedene fliegende Insekten,Gemeines Insekt jede Insektenart aus der Ordnung der Zweiflügler (Diptera).
Florist,noun,related,"Person, die Blumen und Pflanzenteile zu Sträußen, Gestecken, Kränzen und ähnlichem verarbeitet","Person, die Blumen verkauft."
Flucht,noun,exact,"rasches entfliehen|Entfliehen von einer Sache, die Gefahr oder Unglück verheißen|verheißt",Das Verlassen einer gefährlichen oder unangenehmen Situation.
Flucht,noun,exact,"rasches entfliehen|Entfliehen von einer Sache, die Gefahr oder Unglück verheißen|verheißt",Das Flüchten.
Flucht,noun,related,das befreien|Befreien von einem Zwang oder einer negativen Situation,Das Flüchten.
Fluss,noun,broader,"groß|größeres, fließend|fließendes Gewässer","Ein Wasserstrom, der in einem Bett von höherem zu niederem Grund fließt und schließlich in einen See oder Ozean münder bzw. in Wüstengegenden im Boden versickert."
Fluss,noun,broader,stetiger Ablauf; das Fließen,"Die Menge von Teilchen, Masse, Energie, etc., die sich durch eine Fläche pro Zeitspanne bewegt."
Fluss,noun,related,Energieübertragungsrate,"Die Menge von Teilchen, Masse, Energie, etc., die sich durch eine Fläche pro Zeitspanne bewegt."
Forum,noun,broader,"realer oder virtueller Ort, wo Meinungen untereinander ausgetauscht werden können, Fragen gestellt und beantwortet werden können","Virtueller Raum, in dem diskutiert, Fragen gestellt und beantwortet und Gedanken ausgetauscht werden."
Forum,noun,broader,"Platzanlage, die das Zentrum eines Ortes bildet","Antiker römischer Platz, der das Zentrum des öffentlichen Lebens war."
Fräulein,noun,exact,unverheiratet|unverheiratete Frau,Eine unverheiratete Frau.
Fräulein,noun,broader,unverheiratet|unverheiratete Frau,"Junge, unverheiratete Frau."
Fräulein,noun,related,Mädchen,"Junge, unverheiratete Frau."
Fräulein,noun,narrower,ledige adlige Frau,Eine unverheiratete Frau.
Fraktur,noun,narrower,Knochenbruch,Der Bruch von hartem Gewebe wie einem Knochen.
Fraktur,noun,broader,eine bestimmte Schriftart der gebrochenen Schrift,"Ein Schreibsystem, bei dem Lateinische Buchstaben in einer gebrochenen Schrift dargestellt werden von der Mitte des 16. bis zum Ende des ersten Drittels des 20. Jahrhunderts meistbenutzte Druckschrift im deutschsprachigen Raum"""" auch für andere germanische Sprachen eingesetzt."""""
Fraktur,noun,broader,alle gebrochenen Schriften,"Ein Schreibsystem, bei dem Lateinische Buchstaben in einer gebrochenen Schrift dargestellt werden von der Mitte des 16. bis zum Ende des ersten Drittels des 20. Jahrhunderts meistbenutzte Druckschrift im deutschsprachigen Raum"""" auch für andere germanische Sprachen eingesetzt."""""
Freund,noun,related,"ein sehr nahestehender Mensch, für den man freundschaftliche und kameradschaftliche Gefühle entwickelt hat","Ein Gefährte, welcher Hilfe bringt."
Freund,noun,broader,"Person, mit welcher man in einer Beziehung sein|in einer Beziehung ist","Person, mit der man eine Liebesbeziehung hat."
Freund,noun,broader,"Person, mit welcher man in einer Beziehung sein|in einer Beziehung ist","Person männlichen Geschlechts, mit der jemand eine Liebesbeziehung hat."
Freundin,noun,narrower,Kurzform für feste Freundin; Geliebte,"Person, mit der man eine Liebesbeziehung hat."
Freundin,noun,exact,Kurzform für feste Freundin; Geliebte,"Person weiblichen Geschlechts, mit der jemand eine Liebesbeziehung hat."
Frieden,noun,narrower,"vertraglich gesichertes Miteinander verschiedener Staaten, das durch Abwesenheit von Gewalt (und speziell von Krieg) gekennzeichnet ist","Ein Zustand ohne Krieg, insbesondere Krieg zwischen verschiedenen Ländern."
Frieden,noun,broader,Zustand harmonischen Miteinanders,"Ein Zustand von Stille und Harmonie, z.B. ein Staat ohne Störungen des öffentlichen Lebens."
Fuß,noun,broader,"ein paariger Körperteil beim Menschen und höher entwickelten Spezies, unterer Teil des Beines","Der Teil des menschlichen Körpers unterhalb des Fußgelenks, der gebraucht wird, um zu stehen und zu laufen."
Fuß,noun,broader,"das gesamte Bein, die Extremität zum Laufen und Stehen","Der Teil des menschlichen Körpers unterhalb des Fußgelenks, der gebraucht wird, um zu stehen und zu laufen."
Fuß,noun,broader,veraltete Maßeinheit,"Eine Maßeinhalt, die zwölf Inch und einem drittel Yard entspricht (genau: 30,48 cm)."
Fußball,noun,broader,"eine beliebte Mannschaftssportart, welche mit 22 Spielern und einem Ball gespielt wird","Eine Ballsportart, bei der zwei Mannschaften mit je 11 Spielern versuchen, einen Ball vorwiegend mit dem Fuß in das gegnerische Tor zu befördern."
Fußball,noun,exact, Ball zur Ausübung des Sportes ; Spielgerät,"Ball, der beim Fußballspiel benutzt wird."
Fuchs,noun,broader,Vertreter einer Gruppe von bestimmten kurzbeinigen Arten der Familie der Hunde (Canidae),(''Vulpes vulpes'') Relativ kleines hundeartiges Raubtier (Canidae).
Fuchs,noun,narrower,männlicher Fuchs,(''Vulpes vulpes'') Relativ kleines hundeartiges Raubtier (Canidae).
Fuchs,noun,narrower,"meist der Rotfuchs,",(''Vulpes vulpes'') Relativ kleines hundeartiges Raubtier (Canidae).
Gabel,noun,exact,"mit Zinken ausgestattetes Werkzeug, Teil des Essbestecks zum Aufspießen von Nahrungsmitteln mit mindestens zwei Zinken","Ein Utensil mit Zinken, das benutzt wird, um feste Speisen zu Munde zu führen."
Gabel,noun,broader,"Radaufhängung, insbesondere bei Zweirad|Zweirädern","Der Teil eines Fahhrades, der das Vorderrad hält und dem Fahrer erlaubt, zu Lenken und die Balance zu halten."
Gaul,noun,narrower,minderwertiges Pferd,Altes oder minderwertiges Pferd.
Gaul,noun,narrower,Pferd,Ein großes Tier mit vier Beinen auf dem Menschen reiten und das sie zum Tragen von Lasten oder zum Ziehen von Fahrzeugen nutzen.
Geburt,noun,related,Zeitpunkt nach der Entbindung,"Die Tatsache oder der Vorgang, ein Kind zu gebären als Höhepunkt und zugleich Ende einer Schwangerschaft."
Geburt,noun,related,Zeitpunkt nach der Entbindung,Der Moment in dem jemand geboren wird.
Geburt,noun,exact,Gebären eines Kindes,"Die Tatsache oder der Vorgang, ein Kind zu gebären als Höhepunkt und zugleich Ende einer Schwangerschaft."
Geburt,noun,broader,Entstehung (einer Idee oder dergleichen),Der Vorgang des Entstehens oder allerersten Auftauchens einer Idee oder Sache.
Geburtstag,noun,exact,"dem Kalender entsprechende Angabe des Tages (nebst Monat und Jahr), an dem eine Person geboren wird; Tag von jemandes Geburt",Tag an welchem eine oder mehrere Jahre zuvor eine Person geboren wurde.
Geburtstag,noun,exact,"dem Kalender entsprechende Angabe des Tages (nebst Monat und Jahr), an dem eine Person geboren wird; Tag von jemandes Geburt","Das Datum, an dem eine Person geboren wurde."
Gefängnis,noun,narrower,"Gebäude oder Anlage, in dem Personen, die vom Gericht zu einer unbedingten Haftstrafe verurteilt wurden, unter Verschluss gehalten werden","Ein Ort, an dem einzelne Personen beschränkte persönliche Freiheit haben."
Gefängnis,noun,exact,"Gebäude oder Anlage, in dem Personen, die vom Gericht zu einer unbedingten Haftstrafe verurteilt wurden, unter Verschluss gehalten werden","Ein Gebäude, in dem Häftlinge eingesperrt werden, nachdem sie von einem Gericht für ein Verbrechen verurteilt wurden."
Gefühl,noun,broader,das subjektive Erleben von Erregung und hirnchemischer Aktivität,Das Erleben von affektiven und emotionalen Zuständen.
Gefühl,noun,related,gefühlsmäßiger Zustand,Das Erleben von affektiven und emotionalen Zuständen.
Gefühl,noun,related,"Einschätzung, die nicht auf Überlegung beruht",Ein allgemeines Gewahrsein.
Gegenwart,noun,exact,das zeitliche Jetzt zwischen der Vergangenheit und der Zukunft,Der jetzige Augenblick oder Zeitabschnitt
Gegenwart,noun,exact,"eine Zeitform von Zeitwort|Zeitwörtern, die aktuelles Geschehen anzeigt","Zeitstufe des Verbs (Tempus), die Aussagen über die Gegenwart und andauernde Zustände macht."
Geist,noun,narrower,"göttliches Wesen, übernatürliches Wesen",Eine geisterhaft erscheinende Figur.
Geist,noun,exact,auf Erden wandelnde Seele eines Toter|Toten,Die sichtbare körperlose Seele einer toten Person.
Geist,noun,narrower,auf Erden wandelnde Seele eines Toter|Toten,Eine geisterhaft erscheinende Figur.
Genie,noun,narrower,Person mit außergewöhnlichen geistig schöpferischen Fähigkeiten,Eine intelligente Person.
Genie,noun,narrower,außergewöhnliche geistig schöpferische Fähigkeit,"Die Fähigkeit einer Person, etwas zu erschaffen oder zu erfinden."
Genosse,noun,related,"offizielle Anrede in einigen realsozialistischen (ehemalige Sowjetunion, Bulgarien unter anderem) sowie anderen sozialistischen Staaten (China) und in deren bewaffneten Organen",Ein gemeinsames Mitglied der Kommunistischen Partei.
Genosse,noun,related,"offizielle Anrede in einigen realsozialistischen (ehemalige Sowjetunion, Bulgarien unter anderem) sowie anderen sozialistischen Staaten (China) und in deren bewaffneten Organen",Ein gemeinsames männliches Mitglied der Kommunistischen Partei.
Geschlecht,noun,broader,"Familie, Sippe","Eine Familie und ihre Nachkommen, z.B. ein Königshaus."
Geschlecht,noun,narrower,"  grammatische Kategorie von Hauptwörtern, Beiwörtern, Geschlechtswörtern und Fürwörtern (Substantiven, Adjektiven, Artikeln, Pronomen), also von Nennwörtern (Nomen; im traditionellen weiteren Sinn)","Die in vielen Sprachen verwendete, willkürliche Klassifikation eines Wortes, von der die Kongruenz der Satzteile abhängt."
Geschmack,noun,narrower,Empfindung von Mensch und höheren Tieren bei der Nahrungsaufnahme über den Mund beziehungsweise das Maul,Einer der fünf Sinne: die Fähigkeit Aromen mit der Zunge zu unterscheiden.
Geschmack,noun,exact,die Gesamtheit der individuellen Vorlieben,"Der soziologische Begriff, der Bevorzugung ausdrückt"
Gipfel,noun,broader,höchste Stelle eines Berges oder eines Gebirgszuges,Der höchste Punkt eines Berges.
Gipfel,noun,narrower,"Höhepunkt einer Leistung, eines Vorgangs oder einer Emotion",Der höchste erreichbare Level bzw. Grad.
Giraffe,noun,narrower,") mit einem 2–3 Meter langen Hals, dessen kurzes Fell sandfarben gefärbt und unregelmäßig mit (rostbraun|rost-)braunen Flecken versehen ist, dessen Rücken stark abfällt und auf dessen Stirn sich mehrere fellüberzogene Knochenzapfen befinden","Ein afrikanisches paarhufiges Säugetier, die größte aller am Land lebenden Tierarten"
Giraffe,noun,broader,ein Sternbild am nördlichen Sternenhimmel,"Ausgedehntes, lichtschwaches nördliches Sternbild"
Glück,noun,exact,sich positiv auswirkender Zufall,"Etwas Positives, das jemandem zufällig passiert"
Glück,noun,broader,Zustand der (relativen oder vollkommenen) Zufriedenheit,"Gefühle, die in einem Zustand des Wohlseins erfahren werden."
Gold,noun,exact,"gelbes, glänzendes, leicht verformbares Metall; das chemische Element mit der Ordnungszahl 79","Schweres, gelbes und kostbares elementares Metall mit der Ordnungszahl 79 und dem Symbol Au."
Gold,noun,broader,goldfarbene Medaille,Preis für den Sieg bei einem Sportwettkampf.
Gottheit,noun,exact,"von Menschen verehrtes fiktives, übernatürliches, meist unsterbliches Wesen","Übernatürliches, meist unsterbliches Wesen mit höherer Macht."
Gottheit,noun,narrower,"von Menschen verehrtes fiktives, übernatürliches, meist unsterbliches Wesen",Göttliches Wesen.
Gottheit,noun,related,göttliches Sein,Göttliches Wesen.
Grün,noun,broader,"kurz für Grünflächen, grünes Blattwerk und Ähnliches",Günes Laubwerk.
Grün,noun,related,Zielbereich einer Golfbahn mit kurz mähen|gemähtem Rasen,Auf dem Golfplatz der Bereich in der Nähe des Lochs.
Grammatik,noun,broader,das sprachliche Wissen mit seinen Regeln und dem Lexikon,"Die Systematik und die strukturellen Regeln, welche die Zusammensetzung, die Gestalt und die Form von Sätzen, Wortgruppen und Wörtern einer natürlichen oder künstlichen menschlichen Sprache bestimmen. Sie werden in der Linguistik und der Sprachforschung untersucht und dokumentiert."
Grammatik,noun,broader,das Regelsystem einer Sprache,"Die Systematik und die strukturellen Regeln, welche die Zusammensetzung, die Gestalt und die Form von Sätzen, Wortgruppen und Wörtern einer natürlichen oder künstlichen menschlichen Sprache bestimmen. Sie werden in der Linguistik und der Sprachforschung untersucht und dokumentiert."
Grammatik,noun,broader,Beschreibung einer Grammatik,"Lehrbuch, das die grammatischen Regeln einer Sprache beschreibt."
Gruppe,noun,narrower,Sammlung von mehreren Personen mit unmittelbaren Beziehungen zueinander,"Eine Anzahl Personen, Sachen oder Gegenstände, welche in irgendeiner Art Beziehung zueinander stehen."
Gruppe,noun,narrower,Sammlung von mehreren Personen mit unmittelbaren Beziehungen zueinander,Eine Menge aus Leuten oder Gegenständen mit einem gewissen Zusammehalt oder gegnseitigen Einverständnis.
Gruppe,noun,exact,"eine Menge von chemischen Elementen, die im Periodensystem der Elemente (PSE) senkrecht untereinander stehen.","Gesamtheit der Elemente, die zur selben Spalte des Periodensystems gehören"
Hades,noun,exact,"Gott der Unterwelt, Bruder des Zeus",Der Herrscher der Unterwelt in der griechischen Mythologie.
Hades,noun,exact,nach 1 benannte Unterwelt,"In der griechischen Mythologie, die Unterwelt und Welt der Toten."
Hagebutte,noun,broader,Frucht verschiedener Heckenrosenarten,Die rote und ovale Frucht der Hunds-Rose und anderer Rosenarten.
Hagebutte,noun,broader,"Pflanze verschiedener Heckenrosenarten, meist ist die Hundsrose gemeint","Die Hundsrose ist eine wilde Kletterrose, die in Europa und Nordwestafrika beheimatet ist und dessen Frucht die Hagebutte ist."
Hahn,noun,exact,das männliche Tier verschiedener Vogelarten,Ein männlicher Vogel bei verschiedenen Vogelarten.
Hahn,noun,broader,das männliche Tier verschiedener Vogelarten,Ein männlicher Fasan.
Hahn,noun,narrower,das männliche Huhn,Ein männlicher Vogel bei verschiedenen Vogelarten.
Hammel,noun,exact,"kastriertes, männliches Schaf",Kastriertes männliches Schaf.
Hammel,noun,narrower, das zubereitete oder zur Zubereitung vorgesehene Fleisch eines Hammels; kurz für Hammelfleisch,Das Fleisch eines Schafs als Lebensmittel.
Hammer,noun,exact,Werkzeug bestehend aus Hammerkopf und Stiel,"Ein Werkzeug mit einem schweren Kopf und einem Handgriff, das zum Schlagen von etwas benutzt wird."
Hammer,noun,narrower,eines der drei Gehörknöchelchen im Ohr,"Ein Knochen im Mittelohr, zwischen dem Trommelfell und dem Amboss."
Hammer,noun,related,Wurfhammer,"Ein Werkzeug mit einem schweren Kopf und einem Handgriff, das zum Schlagen von etwas benutzt wird."
