lemma,pos,gender,meta_ID,sense_source,sense_target,semantic_relationship
благодать,noun,,,"Очень хорошо, прекрасно (где-н.).","Благо, добро, благополучие.",related
благодать,noun,,,"О чем-н. хорошем, имеющемся в изобилии","Изобилие природных благ, обеспечивающих благоденствие, доставляющих радость, счастье.",related
благодать,noun,,,"Очень хорошо, прекрасно (где-н.).","О приволье, об условиях, доставляющих удовольствие, счастье.",related
вбежать,verb,,,Войти куда-н.,"Бегом проникнуть куда-л., в пределы чего-л.",broader
обежать,verb,,,"Бегом обойти вокруг кого-чего-н., какое-н. пространство.",Бегом обойти вокруг чего-л.,exact
обежать,verb,,,"Бегая, побывать во многих местах, у многих.","Бегая, торопливо переходя из одного места в другое, побывать всюду, во многих местах.",exact
пятьсот,numeral,,,Число и количество 500.,Число 500.,broader
пятьсот,numeral,,,Число и количество 500.,|| Количество 500.,broader
с,preposition,,,"Употр. при обозначении места, предмета, от к-рого отделяется, удаляется, отходит что-н.","Употребляется при обозначении предмета, места, с поверхности которого или от которого удаляется, отделяется кто-, что-л.",exact
с,preposition,,,"Употр. при обозначении места, с к-рым связано совершение действия.","Употребляется при обозначении предмета, места, с поверхности которого или от которого удаляется, отделяется кто-, что-л.",related
с,preposition,,,"Употр. при обозначении места, сферы действия, откуда исходит что-н., откуда приходит кто-н.","Употребляется при обозначении места, пространства, откуда направлено движение, действие.",exact
с,preposition,,,"Употр. при обозначении места, сферы действия, откуда исходит что-н., откуда приходит кто-н.","|| при обозначении местонахождения предмета, лица, производящего действие, или места, с которого возможно наблюдение, восприятие чего-л.",broader
с,preposition,,,"Употр. при обозначении места, сферы действия, откуда исходит что-н., откуда приходит кто-н.","|| при обозначении места или направления (относительно действующего лица или другого предмета), в котором распложено или совершается что-л.",broader
с,preposition,,,"Употр. при обозначении лица или предмета по его происхождению, пребыванию где-н.","Употребляется при обозначении места, предмета и т. п., характеризующего какое-л. лицо или предмет со стороны его происхождения, возникновения, жительства и т. п.",exact
с,preposition,,,"Употр. при обозначении того, что (кто) служит образцом, оригиналом, источником чего-н.","|| при обозначении предмета, лица, служащего образцом для воспроизведения, подражания.",exact
с,preposition,,,"Употр. при обозначении того, что (кто) подвергается чему-н., от чего (кого) отнимается что-н. или что (кто) служит единицей счета.","Употребляется при обозначении лица или предмета, от которого берут, получают, требуют и т. п. что-л.",exact
с,preposition,,,"Употр. при обозначении того, что (кто) подвергается чему-н., от чего (кого) отнимается что-н. или что (кто) служит единицей счета.","|| при обозначении лица или предмета, являющегося единицей исчисления, расчета при взимании, получении чего-л.",broader
с,preposition,,,Употр. при указании на достаточность чего-н. для кого-н.,"Употребляется при указании на лицо, с которым соразмеряется что-л., определяющее для себя достаточность чего-л., какого-л. количества, меры.",exact
с,preposition,,,"Употр. при обозначении того, с чего (с кого) начинается, от чего (от кого)исходит что-н.","Употребляется при обозначении лица, предмета, явления и т. д., которые являются начальными в последовательном ряду чего-л., в развитии чего-л. или служат исходным пунктом, откуда начинается действие.",broader
с,preposition,,,"Употр. при обозначении того, с чего (с кого) начинается, от чего (от кого)исходит что-н.","Употребляется при указании на время, являющееся начальным моментом в развитии, распространении какого-л. действия, состояния.",broader
с,preposition,,,"Употр. при обозначении того, с чего (с кого) начинается, от чего (от кого)исходит что-н.","Употребляется при указании на обстоятельство, действие, состояние, вслед за которым следует или должно следовать какое-л. действие.",broader
с,preposition,,,"По причине, вследствие чего-н.",Употребляется при указании на причину действия или состояния.,exact
с,preposition,,,"На основании чего-н., следуя чему-н.",|| при указании на основание для совершения действия.,exact
с,preposition,,,"При помощи, посредством чего-н., каким-н. способом.","Употребляется при обозначении предмета, орудия, с помощью которого совершается действие.",exact
с,preposition,,,"При помощи, посредством чего-н., каким-н. способом.","|| при обозначении способа, приема осуществления действия (обычно в составе устойчивых сочетаний).",broader
с,preposition,,,"Указывает на приблизительность меры, количества.","Употребляется при указании на приблизительную меру, примерное количество чего-л.; соответствует по значению словам:около,приблизительно.",broader
с,preposition,,,"Указывает на приблизительность меры, количества.","Употребляется при указании на предмет, лицо, к которому приравнивается по величине, размерам другой предмет, лицо.",broader
с,preposition,,,"Указывает на совместность, участие в одном и том же действии или состоянии двух или более лиц и предметов, а также на сопровождение одного лица или предмета другими при совершении какого-н. действия, при каком-н. состоянии.","Служит для обозначения совместности, указывая на предмет или лицо, участвующее в чем-л. вместе с кем-, чем-л.",broader
с,preposition,,,"Указывает на совместность, участие в одном и том же действии или состоянии двух или более лиц и предметов, а также на сопровождение одного лица или предмета другими при совершении какого-н. действия, при каком-н. состоянии.","|| Присоединяя местоимение или существительное к притяжательному местоимению „наш“, „ваш“, указывает на лицо, предмет, которому принадлежит или присуще что-л. так же, как и другому лицу.",broader
с,preposition,,,"Указывает на совместность, участие в одном и том же действии или состоянии двух или более лиц и предметов, а также на сопровождение одного лица или предмета другими при совершении какого-н. действия, при каком-н. состоянии.","|| Употребляется при обозначении кого-, чего-л. входящего совместно с кем-, чем-л. другим в состав, общее количество, сумму кого-, чего-л.",broader
с,preposition,,,"Указывает на наличие чего-н. в чем-н., обладание чем-н.","Употребляется при обозначении лица, предмета, явления и т. п., которое имеется у кого-л. при совершении действия, которым располагает, обладает кто-л.",broader
с,preposition,,,"Указывает на наличие чего-н. в чем-н., обладание чем-н.","Употребляется при указании на предмет, свойство, наличие которого характеризует, определяет другой предмет, лицо, свойство.",broader
с,preposition,,,"Указывает на наличие чего-н. в чем-н., обладание чем-н.","|| при указании на содержимое или содержание чего-л., наличие которого характеризует предмет.",broader
с,preposition,,,"Употр. при обозначении явления или состояния, к-рым сопровождается какое-н. действие.","Употребляется при обозначении действия, состояния, сопровождающего какое-л. другое действие.",broader
с,preposition,,,"Употр. при обозначении явления или состояния, к-рым сопровождается какое-н. действие.","Употребляется при обозначении характера, образа действия.",broader
с,preposition,,,"При посредстве кого-чего-н., используя кого-что-н.","Употребляется при обозначении предмета, лица, посредством или с помощью которого осуществляется действие.",broader
с,preposition,,,Употр. при обозначении цели действия.,Употребляется при обозначении цели действия.,exact
с,preposition,,,"Указывает на соединение, скрепление одного и другого, а также на смежность, близость.","Употребляется при обозначении смежности, близости в пространстве.",broader
с,preposition,,,При наступлении чего-н.,"Употребляется при обозначении времени или события, явления, с наступлением которого осуществляется какое-л. действие или возникает какое-л. состояние.",exact
с,preposition,,,При наступлении чего-н.,"|| При количественно-временных существительных (во мн. ч. или с собирательным значением), а также при существительных с местоимением ""каждый""  употребляется для указания на ряд последовательных промежутков времени и чередующих явлений, по мере наступления которых развивается какое-л. действие или наступает какое-л. состояние.",broader
с,preposition,,,"Указывает на совместность, участие в одном и том же действии или состоянии двух или более лиц и предметов, а также на сопровождение одного лица или предмета другими при совершении какого-н. действия, при каком-н. состоянии.","Употребляется при обозначении лица или предмета, участвующего во взаимном, обоюдном действии.",broader
с,preposition,,,"Указывает на то (того), что (кто) является объектом действия или состояния.","Употребляется при обозначении лица или предмета, к которому устанавливается какое-л. отношение другого лица или предмета (сходство или различие, связь и нарушение ее, соединение и отдаление и т. п.).",exact
с,preposition,,,"Указывает на совместность, участие в одном и том же действии или состоянии двух или более лиц и предметов, а также на сопровождение одного лица или предмета другими при совершении какого-н. действия, при каком-н. состоянии.","|| при указании на лицо или предмет, сопоставляемый, соотносимый с кем-, чем-л. в чем-л. (в действии, признаке и т.п.).",related
с,preposition,,,Употр. при обозначении субъекта состояния.,"Употребляется при указании на лицо или предмет, с которым что-л. происходит, который испытывает, претерпевает что-л.",exact
с,preposition,,,"Указывает на то (того), что (кто) является объектом действия или состояния.","Употребляется при некоторых именах и глаголах для обозначения предмета, лица, на которые направлено действие.",broader
какой-нибудь,pronoun,,,Тот или иной.,"Тот или иной, любой из ряда подобных.",exact
какой-нибудь,pronoun,,,"О небольшом количестве: не больше чего-н.; всего лишь, всего-навсего","Приближающийся к какому-л. количеству, не превышающий какое-л. количество.",related
вялый,adjective,,,"Увядший, завянувший.","Потерявший свежесть, увядший (о растениях).",exact
вялый,adjective,,,"Лишенный бодрости, энергии.","Медлительный от усталости, слабости, лени и т. п.",related
вялый,adjective,,,"Лишенный бодрости, энергии.","Лишенный живого интереса к окружающему, равнодушный и бездеятельный.",related
ценить,verb,,,Назначать цену кому-чему-н.,"Назначать, определять цену кому-, чему-л.",exact
ценить,verb,,,"Признавать то или иное значение, ценность кого-чего-н.","Признавать значение, достоинства, ценность кого-, чего-л.",exact
леди,noun,,,"В Англии: жена лорда, а также замужняя женщина аристократического круга.",Жена лорда или баронета в Англии.,broader
леди,noun,,,"В Англии: жена лорда, а также замужняя женщина аристократического круга.","Наименование замужней женщины, принадлежащей к буржуазно-аристократическому кругу в Англии (обычно присоединяемое к фамилии).",broader
тесный,adjective,,,"Недостаточный по пространству, непросторный.","Такой, в котором мало свободного места, простора, недостаточный по пространству.",exact
тесный,adjective,,,"Недостаточный по величине, ширине.","|| Узкий, ограниченный, лишенный широты.",related
тесный,adjective,,,"Расположенный совсем близко друг к другу, плотно.","Расположенный близко, вплотную друг к другу.",exact
тесный,adjective,,,"Близкий, непосредственный (о связях, отношениях).","||перен.Близкий, непосредственный.",exact
тесный,adjective,,,"Расположенный совсем близко друг к другу, плотно.","Слишком плотно прилегающий, стесняющий движения, узкий (об одежде, обуви).",broader
зимовать,verb,,,"Проводить где-н. зиму, жить где-н. зимой.","Проводить где-л. зиму, оставаться где-л. на зиму.",exact
академик,noun,,,"Член академии (в 1 знач.), а также звание члена академии.",Действительный член академии наук.,broader
академик,noun,,,"Член академии (в 1 знач.), а также звание члена академии.","Звание ученого, художника, скульптора и т. п., избранного в соответствующую академию.",broader
вагон,noun,,,"Несамоходное (при оборудовании мотором - самоходное) транспортное средство, движущееся по рельсам.","Транспортное средство, специально оборудованное для перевозки пассажиров и грузов по рельсовым путям.",exact
черновой,adjective,,,"Сделанный, написанный начерно.","Написанный, подготовленный начерно, не окончательно;противоп.беловой.",exact
черновой,adjective,,,"Сделанный, написанный начерно.","|| Предназначенный для записей начерно, содержащий такие записи.",related
черновой,adjective,,,"Сделанный, написанный начерно.","Сделанный не полностью, не отделанный; предварительный.",related
черновой,adjective,,,"Не требующий специальных знаний, квалификации (о труде).","Подсобный, вспомогательный (о работе, труде).",related
черновой,adjective,,,"Не требующий специальных знаний, квалификации (о труде).","|| То же, чточерный(в 6 знач.).",exact
единый,adjective,,,"обычно с отрицанием. Один, только один.",(обычно с отрицанием). Один.,exact
единый,adjective,,,"обычно с отрицанием. Один, только один.","||Только один, единственный.",related
единый,adjective,,,"Один, общий, объединенный.","Один и тот же, общий; одинаковый.",related
абрикос,noun,,,"Южное фруктовое дерево сем. розоцветных, дающее сочные сладкие плоды с крупной косточкой, а также плод его.",Южное плодовое дерево.,broader
абрикос,noun,,,"Южное фруктовое дерево сем. розоцветных, дающее сочные сладкие плоды с крупной косточкой, а также плод его.",Плод этого дерева оранжевого цвета с крупной косточкой.,broader
авария,noun,,,"Повреждение, выход из строя какого-н. механизма, машины, устройства во время работы, движения (также перен.: о неудаче, провале какого-н. дела, предприятия)","Повреждение, выход из строя какого-л. механизма, машины, транспортного средства и т. п. во время действия, движения.",broader
авария,noun,,,"Повреждение, выход из строя какого-н. механизма, машины, устройства во время работы, движения (также перен.: о неудаче, провале какого-н. дела, предприятия)","|| перен. Неудача, неожиданное нарушение в ходе какого-л. дела.",broader
автомат,noun,,,"Аппарат (машина, прибор, устройство), после включения самостоятельно выполняющий ряд заданных операций.","Самодействующее устройство (аппарат, машина, прибор), производящее работу по заданной программе без непосредственного участия человека.",exact
автомат,noun,,,Индивидуальное автоматическое стрелковое оружие с надевающимся штыком-ножом.,Ручное автоматическое скорострельное оружие — пистолет-пулемет.,exact
аграрный,adjective,,,"Земельный, относящийся к землепользованию.","Относящийся к землевладению, к землепользованию; земельный.",exact
актер,noun,,,"Артист - исполнитель ролей в театральных представлениях, в кино, на телевидении. (перен.: старается показать себя не таким, каков он есть; неодобр.).",Профессиональный исполнитель ролей в театральных представлениях.,broader
актер,noun,,,"Артист - исполнитель ролей в театральных представлениях, в кино, на телевидении. (перен.: старается показать себя не таким, каков он есть; неодобр.).","|| О человеке, показывающем себя не таким, каков он есть на самом деле; о притворщике.",broader
алкоголь,noun,,,Одноатомный спирт (спец.).,Винный спирт.,broader
алкоголь,noun,,,"Вообще вино, спиртные напитки.",|| Разг. Водка и вообще спиртные напитки.,exact
алкоголь,noun,,,Одноатомный спирт (спец.).,"Ряд органических соединений, в состав молекул которых входит группа атомов кислорода и водорода; спирты.",narrower
ансамбль,noun,,,"Согласованность, стройность частей единого целого, а также само такое целое.","Художественная согласованность какого-л. исполнения (драматического, музыкального и т. п.).",broader
ансамбль,noun,,,"Исполнительский коллектив(певцов, музыкантов), а также состав исполнителей.","Группа артистов, выступающая как единый художественный коллектив.",exact
ансамбль,noun,,,"Согласованность, стройность частей единого целого, а также само такое целое.","Музыкальное произведение, предназначенное для группы исполнителей.",broader
ансамбль,noun,,,"Согласованность, стройность частей единого целого, а также само такое целое.","Стройное объединение частей, образующих какое-л. целое (комплекс зданий, сооружений и т. п.).",broader
артачиться,verb,,,"Упрямиться, не соглашаться.","Не соглашаться, упрямиться.",exact
артикул,noun,,,"Тип или род изделия, товара, а также его цифровое или буквенное обозначение.","Тип или род изделия, товара, а также его цифровое или буквенное обозначение.",exact
ассигнация,noun,,,Бумажный денежный знак в России (с 1769 по 1849 г.).,"Название бумажных денежных знаков, выпускавшихся в России с 1769 по 1848 г.",exact
багровый,adjective,,,"Красный густого, темного оттенка.","Густо-красный, пурпуровый.",exact
базар,noun,,,"Место для торговли, обычно на площади, а также розничная торговля на таком месте.","Розничный торг преимущественно съестными припасами, привозимыми самими производителями, происходящий (по определенным дням или ежедневно) на площади или в отведенном для этого помещении.",exact
базар,noun,,,"Шум, крик","О беспорядочном говоре, крике, шуме.",exact
балансировать,verb,,,Сохранять равновесие посредством телодвижений.,Сохранять при неустойчивом положении равновесие посредством телодвижений.,exact
балансировать,verb,,,Подводить баланс (спец.).,Приводить в правильное соотношение между собой взаимно связанные стороны какой-л. деятельности; уравновешивать.,related
баловаться,verb,,,"Шалить, забавляться, а также обращать в забаву что-н. серьезное.","Играть, забавляться.",broader
баловаться,verb,,,"Шалить, забавляться, а также обращать в забаву что-н. серьезное.",|| чем. Заниматься чем-л. ради удовольствия или обращать в забаву что-л. серьезное.,related
баловаться,verb,,,"Делать что-н. ради удовольствия, развлечения (прост.).",|| чем. Заниматься чем-л. ради удовольствия или обращать в забаву что-л. серьезное.,narrower
баловаться,verb,,,"Шалить, забавляться, а также обращать в забаву что-н. серьезное.",Заниматься озорством ради забавы.,related
больно1,adverb,,,"Так, что чувствуется боль.","Причиняя боль, ощущая боль (физическую или душевную).",exact
больно1,adverb,,,"Обидно, неприятно, досадно.","|| с союзом „что“. Разг. Тяжело, неприятно, досадно.",exact
болтать1,verb,,,"Размешивая, приводить в движение (жидкость).","Толчками, покачиванием сосуда приводить в движение находящуюся в нем жидкость.",exact
болтать1,verb,,,"Делать движения (руками, ногами)из стороны в сторону.",Делать движения из стороны в сторону или взад и вперед (чем-л. находящимся на весу).,narrower
болтать1,verb,,,О движении летательного аппарата вовремя болтанки.,"Покачивать из стороны в сторону, подбрасывать (самолет).",exact
болтать2,verb,,,"Говорить (много, быстро, а также о чем-н. незначительном или то, о чем не следует).","Вести легкий, непринужденный разговор, разговаривать.",broader
болтать2,verb,,,"Говорить (много, быстро, а также о чем-н. незначительном или то, о чем не следует).","|| Говорить то, о чем не следует говорить; проговариваться.",broader
валюта,noun,,,"Денежная система страны, а также денежные единицы этой системы.","Денежная единица, положенная в основу денежной системы какой-л. страны.",broader
валюта,noun,,,"Денежная система страны, а также денежные единицы этой системы.",Тип денежной системы данной страны.,broader
валюта,noun,,,Иностранные деньги.,"Денежные знаки иностранных государств, а также кредитные и платежные документы, выраженные в иностранных денежных единицах и используемые в международных расчетах.",narrower
ватный,adjective,,,см. вата.,Прил. к вата.,exact
ватный,adjective,,,см. вата.,"|| Сделанный из ваты, на вате.",related
ватный,adjective,,,"Обмякший, лишенный способности двигаться, действовать.","Обмякший, лишенный способности двигаться, действовать.",exact
величать,verb,,,"Называть, звать (по имени, отчеству, званию)","Выражая уважение, подчеркивая какие-л. достоинства, давать почтительные названия кому-, чему-л.",related
величать,verb,,,"Называть, звать (по имени, отчеству, званию)",|| Устар. и прост. Называть по отчеству.,broader
величать,verb,,,В народных обрядах: чествовать поздравительной песней.,"Петь в честь кого-л. песни, называя по имени, чествовать песнями.",exact
видеть,verb,,,Обладать способностью зрения.,"Иметь зрение, обладать способностью зрения.",exact
видеть,verb,,,"Воспринимать интеллектуально и зрительно (пьесу, фильм, игру актера), смотреть (в 3 знач.).",Воспринимать зрением.,related
видеть,verb,,,Воспринимать зрением.,Воспринимать зрением.,exact
видеть,verb,,,Иметь встречу с кем-н.,"|| Видеться с кем-л., лично встретить кого-л.; лицезреть.",exact
видеть,verb,,,"Со словами ""сон"", ""во сне"": представлять в сновидении.","|| Мысленно представлять, воображать.",related
видеть,verb,,,"Наблюдать, испытывать.","|| Испытывать, переживать, а также встречать что-л., сталкиваться с чем-л.",related
видеть,verb,,,"Сознавать, усматривать.","Сознавать, понимать, чувствовать.",narrower
глава,noun,,,"То же, что голова (в 1 знач.)(устар. и высок.).","То же, что голова (в 1 знач.).",exact
глава,noun,,,Купол церкви.,Купол церковного здания.,exact
глава,noun,,,"Руководитель, начальник, старший по положению.","Тот, кто возглавляет что-л., руководит чем-л., главный, старший над кем-л.",exact
гнилой,adjective,,,"Испорченный гниением, затхлый.","Испорченный или разрушенный гниением; гниющий, разлагающийся.",exact
гнилой,adjective,,,"Испорченный гниением, затхлый.","|| Испорченный, несвежий, затхлый (о воде).",broader
гнилой,adjective,,,"Сырой, несущий болезни.","Сырой, дождливый, туманный (о погоде, климате).",broader
гнилой,adjective,,,"Не имеющий внутреннего стержня, аморальный.",Порочный в каком-л. отношении.,exact
гнить,verb,,,"Разрушаться, подвергаясь органическому разложению.","Разрушаться, подвергаясь органическому разложению; разлагаться.",exact
двести,numeral,,,Число и количество 200.,Число 200.,broader
двести,numeral,,,Число и количество 200.,|| Количество 200.,broader
дикий,adjective,,,"Находящийся в первобытном состоянии (о людях), некультивируемый (о растениях), неприрученный, неодомашненный (о животных).","Находящийся в первобытном, природном состоянии: а) Не прирученный, живущий на воле в отличие от домашнего (о животных и птицах). б) Некультивированный, растущий на свободе в отличие от садового, огородного (о растениях).",broader
дикий,adjective,,,"Находящийся в первобытном состоянии (о людях), некультивируемый (о растениях), неприрученный, неодомашненный (о животных).",Находящийся на ступени первобытной культуры (о людях).,broader
дикий,adjective,,,"Необычайный, очень сильный (разг.).","Переходящий границы нормального, обычного; очень сильный, невероятный.",exact
дикий,adjective,,,"Нелепый, странный(разг.).","Странный, нелепый.",exact
дикий,adjective,,,"Чуждающийся людей, застенчивый.","Избегающий, чуждающийся людей; застенчивый, нелюдимый.",exact
дикий,adjective,,,"Не связанный ни с какими организациями, действующий самостоятельно (разг.).","Не связанный ни с какими организациями, действующий, функционирующий самостоятельно.",exact
жарить,verb,,,"Приготовлять (пищу),держать на сильном жару без воды, в масле, жире.","Приготовлять в пищу (мясо, рыбу, картофель и т. п.), подвергая действию жара без воды.",exact
жарить,verb,,,"Подвергать действию сильного жара, прокаливать (зерна, семена).",|| (сов. нет). Прокаливать на сковородке.,related
жарить,verb,,,"О солнце: обжигать лучами, палить (разг.).","Обжигать лучами, палить (о солнце).",exact
жарить,verb,,,"Подвергать действию сильного жара, прокаливать (зерна, семена).",Жарко топить; накалять.,related
жарить,verb,,,"Подвергать действию сильного жара, прокаливать (зерна, семена).","|| Подвергать действию высокой температуры, прокаливать для очистки.",related
жарить,verb,,,"Употр. вместо любого глагола для обозначения быстрого, энергичного действия (прост.).","Употребляется вместо того или иного глагола для обозначения действия, выполняемого с особой силой, страстностью, азартностью и т. п. (с сохранением управления этого глагола).",exact
зять,noun,,,Муж дочери или 1 сестры.,Муж дочери.,broader
зять,noun,,,Муж дочери или 1 сестры.,Муж сестры.,broader
иной,adjective,,,"Другой, отличающийся от этого.","Другой, не тот, не такой, отличающийся от этого (или от прежнего).",exact
каменный,adjective,,,см. камень.,Прил. к камень.,exact
каменный,adjective,,,см. камень.,|| Состоящий из камня (камней).,broader
каменный,adjective,,,см. камень.,"|| Сделанный, построенный из камня.",broader
каменный,adjective,,,"Безжизненный, застывший.","Неподвижный, застывший, безжизненный.",exact
каменный,adjective,,,"Безжалостный, жестокий.","Равнодушный, бесчувственный, жестокий.",exact
каменный,adjective,,,"Употр. в названиях нек-рых растений, минералов (спец.).","Как составная часть некоторых ботанических, зоологических и минералогических названий.",exact
лететь,verb,,,"Нестись, передвигаться по воздуху.","Передвигаться, перемещаться по воздуху с помощью крыльев.",broader
лететь,verb,,,"То же, что падать (в 1 знач.) (разг.).",Падать.,exact
лететь,verb,,,"То же, что мчаться.",Мчаться (по земной или водной поверхности).,exact
лететь,verb,,,О времени: быстро проходить.,Быстро проходить (о времени).,exact
лететь,verb,,,"Быстро изменяться в цене, в уровне (разг.).","Быстро изменяться (о цене, уровне и т. п.).",exact
лететь,verb,,,"Ломаться, нарушаться (разг.).","Ломаться, портиться, нарушаться.",exact
любоваться,verb,,,"Рассматривать, наблюдать с удовольствием, с восхищением.","Рассматривать кого-, что-л. с восхищением, удовольствием.",exact
любовь,noun,,,"Глубокое эмоциональное влечение, сильное сердечное чувство.","Чувство глубокой привязанности к кому-, чему-л.",exact
любовь,noun,,,"Чувство глубокого расположения, самоотверженной и искренней привязанности.","|| Чувство расположения, симпатии к кому-л.",exact
любовь,noun,,,"Глубокое эмоциональное влечение, сильное сердечное чувство.","Чувство горячей сердечной склонности, влечение к лицу другого пола.",related
любовь,noun,,,"Предмет любви (тот или та, кого кто-н. любит, к кому испытывает влечение, расположение).","|| О человеке, внушающем такое чувство.",exact
любовь,noun,,,"Интимные отношения, интимная связь (прост.).",|| Любовные отношения.,related
любовь,noun,,,"Постоянная, сильная склонность, увлеченность чем-н.","Внутреннее стремление, влечение, склонность, тяготение к чему-л.",exact
любовь,noun,,,"Пристрастие, вкус к чему-н.","|| Пристрастие к чему-л., предпочтение чего-л.",exact
любовный,adjective,,,"1. см. любовь. (Глубокое эмоциональное влечение, сильное сердечное чувство. + Чувство глубокого расположения, самоотверженной и искренней привязанности. + Интимные отношения, интимная связь (прост.). )",Связанный с любовью (во 2 знач.).,related
любовный,adjective,,,"Выражающий любовь (в 1 знач.), проникнутый любовью.","|| Выражающий любовь (в 1 и 2 знач.), проникнутый любовью к кому-л.",exact
любовный,adjective,,,Внимательно-заботливый.,"Очень внимательный, заботливый, бережный.",exact
медленный,adjective,,,"Совершающийся с небольшой скоростью, осуществляющийся неторопливо.","Совершающийся, осуществляемый с небольшой скоростью, неторопливо; противоп. быстрый.",exact
медленный,adjective,,,"Совершающийся с небольшой скоростью, осуществляющийся неторопливо.","|| Неторопливый в движениях, действиях; медлительный.",related
медленный,adjective,,,"Происходящий длительно, неспешный.","Протекающий, происходящий постепенно в течение длительного промежутка времени.",exact
мимо,adverb,,,Минуя что-н.,"Не останавливаясь, не задерживаясь, минуя.",broader
мимо,adverb,,,Минуя что-н.,"Минуя кого-, что-л.. в самой непосредственной близости.",broader
мимо,preposition,,,"Не достигая кого-чего-н., не сближаясь с кем-чем-н.","Не задерживаясь около кого-, чего-л., минуя кого-, что-л.",related
мимо,preposition,,,"Не достигая кого-чего-н., не сближаясь с кем-чем-н.","Не попадая в кого-, что-л., не задевая кого-, чего-л.",related
нырять,verb,,,Резким движением погружаться в воду с головой.,Погружаться в воду с головой.,exact
нырять,verb,,,"Плывя (или летя, двигаясь), покачиваться взад и вперед.","Плывя по волнам, то подниматься на гребень, то опускаться, зарываясь носом в волну.",exact
опомниться,verb,,,"Прийти в сознание, вернуть себе самообладание.","Прийти в сознание после обморока, забытья; очнуться.",broader
опомниться,verb,,,"Прийти в сознание, вернуть себе самообладание.","|| Обрести способность хладнокровно действовать, рассуждать; прийти в себя.",broader
опомниться,verb,,,"То же, что одуматься.","Поняв ошибочность своего поведения, своих намерений, отказаться от них; одуматься, образумиться.",exact
опыт,noun,,,"Отражение в сознании людей законов объективного мира и общественной практики, полученное в результате их активного практического познания (спец.).","Совокупность знаний, навыков, умения, вынесенных из жизни, практической деятельности и т. п.",exact
опыт,noun,,,"Отражение в сознании людей законов объективного мира и общественной практики, полученное в результате их активного практического познания (спец.).","|| То, что уже имело место, что уже было испытано на практике, в жизни, с чем приходилось встречаться.",related
опыт,noun,,,"Совокупность знаний и практически усвоенных навыков, умений.","Вся совокупность чувственных восприятий, приобретаемых в процессе взаимодействия человека с внешней природой и составляющих источник и основу всех наших знаний о материальном мире.",related
опыт,noun,,,"Воспроизведение какого-н. явления экспериментальным путем, создание чего-н. нового в определенных условиях с целью исследования, испытания.","Воспроизведение какого-л. явления или наблюдение нового явления в определенных условиях с целью изучения, исследования; эксперимент.",exact
опыт,noun,,,"Попытка осуществить что-н., пробное осуществление чего-н.","Попытка осуществить что-л., пробное осуществление чего-л.",exact
опытный,adjective,,,см. опыт. (1 и 3 зн.),"Обладающий опытом (в 1 знач.), знаниями, навыками в каком-л. деле, профессии, ремесле.",broader
опытный,adjective,,,Обладающий опытом (во 2 знач.).,"|| Такой, в котором проявляется опыт, знания, навык к чему-л.",exact
опытный,adjective,,,Обладающий опытом (во 2 знач.).,"|| Искусный, умелый (о руках).",broader
опытный,adjective,,,Обладающий опытом (во 2 знач.).,"|| Наметанный, изощренный (о слухе, зрении).",broader
опытный,adjective,,,Обладающий опытом (во 2 знач.).,|| Обладающий большим жизненным опытом.,broader
опытный,adjective,,,см. опыт. (1 и 3 зн.),Предназначенный для ведения опытов.,broader
опытный,adjective,,,см. опыт. (1 и 3 зн.),"|| Производимый с целью испытания, пробы.",broader
опытный,adjective,,,см. опыт. (1 и 3 зн.),"|| Пробный, экспериментальный.",broader
опытный,adjective,,,см. опыт. (1 и 3 зн.),"|| Выращенный, выведенный в результате опытов.",broader
опытный,adjective,,,см. опыт. (1 и 3 зн.),"Основанный на опыте, эксперименте.",broader
отстать,verb,,,"Задержавшись, двигаясь медленнее других, остаться позади.","Двигаясь медленнее других или задержавшись в пути, оказаться позади.",exact
отстать,verb,,,"Опоздав куда-н., остаться на месте.","Выйдя в пути из поезда, машины и т. п., остаться на месте, не успев сесть обратно.",broader
отстать,verb,,,"В своем развитии, деятельности остаться позади других, дать себя обогнать (во 2 знач.).","Делая что-л. медленнее других, оказаться последним, позади других в выполнении какого-л. дела.",broader
отстать,verb,,,"В своем развитии, деятельности остаться позади других, дать себя обогнать (во 2 знач.).","|| ( обычно с отрицанием). Не суметь вполне овладеть тем, чем владеет другой, что умеет делать другой.",related
отстать,verb,,,"В своем развитии, деятельности остаться позади других, дать себя обогнать (во 2 знач.).","В результате замедленного развития не достичь необходимого уровня, оказаться на более низком уровне по сравнению с другими.",exact
отстать,verb,,,"О часах: показать более раннее время, чем в действительности из-за замедленного хода механизма.","В результате замедленного хода показать более раннее время, чем в действительности (о часах).",exact
отстать,verb,,,"Отделиться, отвалиться.",Отделиться от чего-л.; отвалиться.,exact
отстать,verb,,,"Потерять, прекратить связь с кем-чем-н., перестать заниматься чем-н. (разг.).","Потерять связь с кем-л., утратить прежние близкие, дружеские и т. п. отношения; отдалиться, отойти.",broader
отстать,verb,,,"Потерять, прекратить связь с кем-чем-н., перестать заниматься чем-н. (разг.).","Перестать делать что-л., заниматься, интересоваться чем-л.",broader
отстать,verb,,,"Перестать надоедать, приставать (разг.).","Перестать надоедать кому-л., оставить кого-л. в покое; отвязаться.",exact
