lemma,pos,sense_source,sense_target,semantic_relationship
gerecht,adjective,"B.2.a.β/|\Naar het jonger taalgebruik, in beperkter toepassing. Daar rechtvaardig meer en meer den zin kreeg van justus, in zooverre als dit met aequus overeenkomt, t.w. dien van billijk, onpartijdig, werd het minder geschikt om, zooals bij VONDEL, van zaken te worden gebezigd in den zin van gewettigd: justus dolor b.v. kon men in later tijd niet vertalen met rechtvaardige ergernis: men had meer dan voorheen behoefte aan gerecht, dat nooit geheel in onbruik was geraakt, in den zin van: Billijk, gerechtvaardigd, gewettigd. Van handelingen of uitingen in het algemeen. Bij voorkeur in verbinding met bepaalde znw. (zie de voorbeelden), in uitdrukkingen die ook in andere talen, met name het Fransch en Hoogduitsch, bestaan (verg. ook beneden de bet. B, 2, b). Zoo b. v.:",gerechtvaardigd; terecht,exact
verwant,noun,2/|\Pers. met wien men door familiebetrekking of bep. bloedverwantschap verbonden is; familielid (in versch. graden); ook in toep. op aangetrouwde familieleden zoolang het huwelijk van kracht is.,iemand die door een familieband verbonden is met iemand anders; familielid van iemand,exact
verwant,noun,"4/|\Zaak of levend wezen waarmee een ander(e) zaak of levend wezen in betrekking staat, of bep. in een wetensch. systeem is ondergebracht, op grond van gemeenschappelijke kenmerken; zaak enz. die overeenkomsten vertoont met een andere; soortgelijke zaak of levend wezen.",dier voorgesteld in zijn relatie tot de ouderdieren of tot andere afstammelingen van die ouderdieren,broader
verwant,noun,"4/|\Zaak of levend wezen waarmee een ander(e) zaak of levend wezen in betrekking staat, of bep. in een wetensch. systeem is ondergebracht, op grond van gemeenschappelijke kenmerken; zaak enz. die overeenkomsten vertoont met een andere; soortgelijke zaak of levend wezen.",natuurlijke soort die evolutionair dezelfde oorsprong heeft als een andere genoemde soort,broader
verwant,noun,"4/|\Zaak of levend wezen waarmee een ander(e) zaak of levend wezen in betrekking staat, of bep. in een wetensch. systeem is ondergebracht, op grond van gemeenschappelijke kenmerken; zaak enz. die overeenkomsten vertoont met een andere; soortgelijke zaak of levend wezen.",stof met eigenschappen die ze gemeenschappelijk heeft met een andere stof; gelijkende stof,broader
rennen,verb,"2/|\Zich te voet (zeer) snel voortbewegen, (zeer) hard loopen, hollen, snellen.",zeer hard lopen; zo hard als men kan lopen,exact
rennen,verb,"2/|\Zich te voet (zeer) snel voortbewegen, (zeer) hard loopen, hollen, snellen.",zich onverwijld begeven naar een plaats waar of een persoon bij wie men iets belangrijks verwacht of te doen heeft; onverwijld contact opnemen met iemand,exact
rennen,verb,3/|\Zich (zeer) snel voortbewegen op andere dan in de bet. 1) en 2) genoemde wijze.,druk en snel met zijn activiteiten bezig zijn; zich voortdurend haasten; zich spoeden,related
rennen,verb,"5.a/|\In het alg. Om het hardst loopen, wedloopen.",het hardlopen beoefenen als sport of als conditietraining,exact
vliegen,verb,I/|\Zich van nature met daartoe bestemde organen door de lucht voortbewegen.,"zich op eigen kracht, vooral door gebruik te maken van vleugels, door de lucht voortbewegen",broader
vliegen,verb,"I.3.a.β/|\In den zin van: zich geestelijk tot groote hoogte verheffen, of bepaalde aspiraties of pretenties hebben, dan wel: zich aan fantasieën overgeven.",een gevoel hebben alsof men vliegt; een gevoel hebben alsof men aan de aarde ontstijgt; een euforisch gevoel hebben,related
vliegen,verb,"II.5/|\Ter aanduiding van een plotselinge verplaatsing, bepaaldelijk een verdwijning, meest in het verl. deelw. gevlogen.",zich met grote snelheid verplaatsen; zich snel verplaatsen,exact
vliegen,verb,"III/|\Met betr. tot zaken ter aanduiding van een snelle beweging van een bep. punt uit, ten gevolge van een er op uitgeoefende stuwende kracht. Behalve misschien in de eerstgenoemde toepassing wordt hierin geen overdracht van de bet. I) meer gevoeld.",door de wind bewogen worden; wapperen,broader
vliegen,verb,"III.9/|\Van allerlei zaken die hetzij opzettelijk geworpen worden, dan wel onverhoeds of door een natuurlijke oorzaak in een snelle beweging raken.",door een externe oorzaak plots van zijn vaste basis of zijn normale plaats loskomen en door de lucht geslingerd worden,exact
vliegen,verb,III.9.a/|\Van allerlei zaken die in hun geheel in beweging komen.,door een externe oorzaak plots van zijn vaste basis of zijn normale plaats loskomen en door de lucht geslingerd worden,narrower
vliegen,verb,III.9.d/|\Van deelen die van iets afgescheiden worden.,door een externe oorzaak plots van zijn vaste basis of zijn normale plaats loskomen en door de lucht geslingerd worden,narrower
vliegen,verb,III.9.g/|\Van touwen e.d. die geslingerd of om iets gewonden worden.,door een externe oorzaak plots van zijn vaste basis of zijn normale plaats loskomen en door de lucht geslingerd worden,exact
vliegen,verb,"III.13.a/|\Van allerlei meest lichte zaken die op den wind of een luchtstroom verplaatst worden, zooals stof, bladeren, vonken, sneeuwvlokken, al of niet met gedachte aan een snelle verplaatsing.",door een veelal plotse en hevige externe kracht door de lucht verplaatst worden,exact
vliegen,verb,III.13.b/|\Van of met betr. tot wolken.,door de wind bewogen worden; wapperen,narrower
vliegen,verb,III.13.c/|\Van zeilen en van hetgeen zich d.m.v. zeilen voortbeweegt.,door de wind bewogen worden; wapperen,narrower
vliegen,verb,"III.13.d/|\Van woorden en uitingen die geacht worden zich door de lucht, op luchtstroomingen te verplaatsen of te ”vervliegen”.",op zeer korte tijd ruim verspreid worden; zich verspreiden,exact
vliegen,verb,III.13.e/|\Gezegd van de bewegingen van licht en schaduw.,door de wind bewogen worden; wapperen,related
vliegen,verb,"IV/|\Met betr. tot personen en dieren en vervolgens ook tot middelen van vervoer, en in daarbij aansluitend gebruik. Zich met groote snelheid verplaatsen, snellen, ijlen, rennen, schieten.",zich met grote snelheid verplaatsen; zich snel verplaatsen,broader
vliegen,verb,"IV.15.a/|\Voortsnellen, hard loopen, draven.",zich met grote snelheid verplaatsen; zich snel verplaatsen,exact
vliegen,verb,"IV.15.a.β/|\Met een bep. die het doel aangeeft, veelal in een iets minder eig. zin: snellen, zich met den meesten spoed begeven.","zijn bezigheid verrichten aan een hoog, gehaast tempo; zich haasten",exact
vliegen,verb,"IV.16/|\Van dieren, bepaaldelijk als rijdieren, en vand. van personen op een rijdier, en vervolgens ook in voertuigen, en van voertuigen zelf. Voortsnellen, ijlen.",zich met grote snelheid verplaatsen; zich snel verplaatsen,narrower
vliegen,verb,"IV.16.d/|\Van zaken die verzonden worden, inz. van berichten, bevelen e.d.",op zeer korte tijd ruim verspreid worden; zich verspreiden,exact
vliegen,verb,"IV.17/|\Zonder gedachte aan verplaatsing, ter aanduiding dat iets, vooral een ontwikkeling, zeer snel gaat; meest in de verb. vooruitvliegen, achteruitvliegen.",snel vorderen,exact
vliegen,verb,IV.18.b/|\Ook fig. in den zin van: zich onweerstaanbaar aan hem opdringen.,opeens als gewaarwording of gedachte ontstaan en doordringen in iemands lichaam of geest,exact
vliegen,verb,V.19.d/|\Van gedachten en aandoeningen.,opeens als gewaarwording of gedachte ontstaan en doordringen in iemands lichaam of geest,exact
vliegen,verb,"V.21.a/|\Van den tijd zelf (zie ook Dl. XVII, 26).",snel voorbijgaan,exact
vliegen,verb,"V.22.a/|\Van vlaggen en wimpels: uitwaaien, wapperen (zie ook kol. 1339 hierboven).",door de wind bewogen worden; wapperen,exact
vliegen,verb,VI.25/|\Als bedr. ww. Met jachtvogels op de genoemde dieren jagen.,doen vliegen,exact
vliegen,verb,"VII/|\Zich zonder daarvoor natuurlijke organen te hebben, gewoonlijk met kunstmiddelen, door de lucht voortbewegen, van menschen en van deze kunstmiddelen, de luchtvaartuigen, zelf.",zich laten vervoeren per vliegtuig; zich verplaatsen met een vliegtuig; een vliegtuig nemen,broader
vliegen,verb,VII.26.d/|\Als gerealiseerde mogelijkheid: zich met eenig toestel door de lucht voortbewegen.,zich laten vervoeren per vliegtuig; zich verplaatsen met een vliegtuig; een vliegtuig nemen,exact
vliegen,verb,"VII.26.d.β/|\In toepassing op het vliegen met vliegtuigen, de thans gewone bet.",zich laten vervoeren per vliegtuig; zich verplaatsen met een vliegtuig; een vliegtuig nemen,exact
vliegen,verb,"VII.26.d.β/|\In toepassing op het vliegen met vliegtuigen, de thans gewone bet.",een vliegtuig besturen als piloot,exact
vliegen,verb,VII.26.d.γ/|\In den zin van: per vliegtuig reizen.,zich laten vervoeren per vliegtuig; zich verplaatsen met een vliegtuig; een vliegtuig nemen,exact
vliegen,verb,VII.27.a/|\Met het gebezigde toestel als object.,een vliegtuig besturen als piloot,exact
vliegen,verb,VII.27.b/|\Met de personen of zaken die door de lucht vervoerd worden als object.,zich laten vervoeren per vliegtuig; zich verplaatsen met een vliegtuig; een vliegtuig nemen,exact
jakkeren,verb,"2.a/|\Overmatig —, onbehoorlijk hard rijden, te paard, of met paard en wagen. In Groningen gezegd voor: veel en hard rijden, buitengewoon vaak rijden en rossen (MOLEMA).","zich zeer gehaast en overmatig snel voortbewegen, veelal al rijdend, fietsend of lopend",exact
jakkeren,verb,2.c/|\Haastig bezig zijn; zich driftig haasten met zijn werk.,"zich zeer gehaast en overmatig snel voortbewegen, veelal al rijdend, fietsend of lopend",exact
bioscoop,noun,2/|\Theater speciaal ingericht en toegerust voor het vertoonen van films.,theater waar op een projectiescherm films worden vertoond voor een betalend publiek,exact
vis,noun,"2/|\In het thans gewone spraakgebruik de naam voor de in het water levende gewervelde, door kieuwen ademende, koudbloedige dieren die een aparte klasse der vertebrata vormen (zie nader bij b) hieronder).","koudbloedig, gewerveld waterdier dat met kieuwen ademt, meestal met een staart en vinnen zwemt en vaak schubben heeft; ook: biologische klasse, Pisces, van gewervelde koudbloedige dieren die met kieuwen ademen",exact
vis,noun,6/|\De bedoelde dieren (zoowel in de bet. 1 als 2))) als spijs en beschouwd in verband met de consumptie.,vis die geschikt is voor menselijke consumptie; vis om te eten; vis als voedsel; ook: het eetbare weefsel van vissen; visvlees; ook; gerecht met vis; visgerecht,exact
vis,noun,"7/|\Het vleesch, het eetbare weefsel van de bedoelde dieren.",vis die geschikt is voor menselijke consumptie; vis om te eten; vis als voedsel; ook: het eetbare weefsel van vissen; visvlees; ook; gerecht met vis; visgerecht,narrower
vis,noun,"10/|\In toepassing op voorstellingen en nabootsingen, figuren of voorwerpen in de gedaante van een visch in zijn traditioneele gestalte.",object in de vorm van een vis; afbeelding van een vis; voorstelling van een vis,exact
vis,noun,"10.d/|\Als naam van een sterrenbeeld, het twaalfde der teekens van den Dierenriem.","iemand die geboren is in het tijdvak van 21 februari tot en met 20 maart en daarom het astrologisch sterrenbeeld Vissen heeft, omdat de zon zich in deze periode (ongeveer) in het astronomisch sterrenbeeld Vissen bevindt; iemand met Vissen als sterrenbeeld",related
vis,noun,"10.d.α/|\Eig., in het mv.","iemand die geboren is in het tijdvak van 21 februari tot en met 20 maart en daarom het astrologisch sterrenbeeld Vissen heeft, omdat de zon zich in deze periode (ongeveer) in het astronomisch sterrenbeeld Vissen bevindt; iemand met Vissen als sterrenbeeld",related
vis,noun,10.d.β/|\Als astrologisch teeken.,"iemand die geboren is in het tijdvak van 21 februari tot en met 20 maart en daarom het astrologisch sterrenbeeld Vissen heeft, omdat de zon zich in deze periode (ongeveer) in het astronomisch sterrenbeeld Vissen bevindt; iemand met Vissen als sterrenbeeld",related
vis,noun,10.d.γ/|\Vandaar meton. ter aanduiding van pers. die onder dit teeken geboren zijn.,"iemand die geboren is in het tijdvak van 21 februari tot en met 20 maart en daarom het astrologisch sterrenbeeld Vissen heeft, omdat de zon zich in deze periode (ongeveer) in het astronomisch sterrenbeeld Vissen bevindt; iemand met Vissen als sterrenbeeld",exact
doek,noun,"A/|\Als voorwerpsnaam: lap geweven stof. In dit gebruik, behoudens in de gevallen onder 3, 4, 5 en 6 vermeld, m.","stuk geweven stof, meestal vierkant of rechthoekig, dat vooral gebruikt wordt om er iets mee schoon of droog te maken of om er iets mee te bedekken of af te scheiden",exact
doek,noun,"A.4/|\Opgespannen, in den regel geprepareerd, stuk linnen, bestemd om daarop te schilderen, of waarop geschilderd is. In deze bet. in de jongere taal onz., onder den invloed van het onder B, 2) vermelde gebruik.",stuk geweven stof om op te schilderen of te tekenen,exact
doek,noun,"A.4/|\Opgespannen, in den regel geprepareerd, stuk linnen, bestemd om daarop te schilderen, of waarop geschilderd is. In deze bet. in de jongere taal onz., onder den invloed van het onder B, 2) vermelde gebruik.",schilderij,related
doek,noun,"A.6/|\Tooneelscherm, inzonderheid: scherm dat een tooneel van voren afsluit. Dit gebruik berust blijkbaar op het voorgaande, hoewel navolging van het gebruik in gelijken zin van fr. toile niet is uitgesloten.",een van beide gordijnen die het toneel afschermt en bij het spel geopend wordt; toneelscherm,exact
doek,noun,B/|\Als stofnaam. In dit gebruik onzijdig.,"geweven stof, meestal van wol, linnen of katoen",broader
doek,noun,"B.1/|\Geweven wollen of linnen, zelden katoenen stof. Terwijl met doek, voorwerpsnaam, ook eene lap zijde of fluweel bedoeld kan worden, wordt doek als stofnaam nooit op zijde, fluweel en dergelijke weefsels toegepast. Reeds KIL. [1588] vermeldt doek achtereenvolgens in den zin van ”laecken” en in dien van ”lijnwaet”. In de omgangstaal in dit gebruik thans niet zeer gewoon.","geweven stof, meestal van wol, linnen of katoen",exact
verbod,noun,"2/|\In aansl. bij verbieden in de bet. II): bevel waardoor iets ongeoorloofd verklaard of ontzegd wordt; dwingend gebod iets niet te doen; (abstr.) het ongeoorloofd verklaren, ontzegging.",bevel waarin iets verboden wordt; voorschrift om iets niet te laten gebeuren; gebod om iets niet te doen,exact
club,noun,"1/|\Eene groep van min of meer bevriende personen, die elkaar geregeld, veelal op eene vaste plaats ontmoeten.",groep bevriende of samenwerkende personen,exact
club,noun,3/|\Eene vereeniging ter gezamenlijke beoefening of ter bevordering van eenige wetenschap of uitspanning. Thans (vooral in samenstellingen) het meest gewone gebruik.,"vereniging van personen die dezelfde sport of hobby beoefenen, of dezelfde belangstelling hebben; ook: de leden van die vereniging",exact
varken,noun,"1/|\Evenhoevig, niet-herkauwend, allesetend zoogdier van de familie der zwijnen (Suidae).","zoogdier met een vrij logge lichaamsbouw en een grote kop met spits opstaande oren, kleine oogjes en een lange, vooraan afgeplatte snuit met grote neusgaten, dat vooral wordt gehouden in de veeteelt voor de vleesproductie",exact
varken,noun,"2/|\Als scheldwoord voor menschen die in hun gedrag of handelwijze herinneren aan sommige eigenschappen van varkens, b.v. gulzigheid, luiheid, morsigheid en derg.; bij uitbr. ook als scheldwoord met een vrij vage bet.","iemand die zich ongeremd laat leiden door zijn lagere instincten, vooral gulzigheid, wellust, luiheid, ook wel brutaliteit en botte gewelddadigheid",exact
kikker,noun,I/|\Eigenlijk. Een kikvorsch en wel (want vermoedelijk wordt in de aangehaalde voorbeelden wel altijd deze bedoeld of aan dezen gedacht) de Groene kikvorsch (Waterkikvorsch).,amfibie met krachtige achterpoten en een compact lichaam zonder nek of staart en met doorgaans een gladde huid,exact
kikker,noun,"II.B.5/|\Dubbele haak, van hout of metaal, om touwen en koorden aan te beleggen.","plat, T-vormig uitsteeksel op boten, steigers en aan molens en kozijnen, waar een touw omheen geslagen en vastgezet kan worden; belegklamp met aan beide kanten uitsteeksels",exact
functie,noun,"1.a/|\Van personen. Ambt dat iemand waarneemt, rol die hij vervult.","ambt dat iemand uitoefent, taak of rol die iemand in een werkkring vervult",exact
ambtenaar,noun,")/|\Een persoon, die door het openbaar gezag (door de overheid van staat, gewest, gemeente of waterschap) is aangesteld en belast met een werkkring van publiekrechtelijken aard.","iemand die voor zijn beroep, in dienst van een overheid of een openbaar lichaam, publieke taken verricht; ook: het beroep van ambtenaar",exact
trein,noun,3.a/|\Gezegd met betr. tot abstracta die een organisatie of zekere verrichtingen noemen.,"iets wat in gang gezet is en daarna, als een trein in volle vaart, snel voortgaat; ook: reeks van elementen die razendsnel op elkaar volgen",exact
trein,noun,"15/|\In het alg.: stoet, rij, sleep, troep. Zoowel met betr. tot personen als zaken. Thans ongewoon.","reeks, rij van min of meer gelijksoortige zaken; stoet; rist; sleep",exact
trein,noun,"18/|\Het geheel van een reeks van wagens die door een locomotief of op andere mechanische wijze over rails worden voortbewogen en dienen voor het vervoer van reizigers en/of goederen; voor de wet en in de vaktaal van de spoorwegen ”een krachtvoertuig met of zonder andere voertuigen, blijkens het daarop aanwezige sluitsein een gesloten geheel vormende, dat als zoodanig zich naar of op de vrije baan beweegt of bewegen gaat, of van de vrije baan komt of gekomen is” (Alg. Regl. Dienst Spoorw. (Stbl. 1933, n° 277), a. 1). Deze bet. is onmiddellijk uit de voorgaande voortgekomen; in sommige vroege 19de-eeuwsche aanh. is het daarom moeilijk uit te maken of daar reeds de onderhavige of nog de vorige begripsinhoud geldt.",voertuig dat in zijn meest traditionele vorm bestaat uit een reeks door een locomotief voortgetrokken rijtuigen of wagons en dat bestemd is om passagiers of goederen tegen betaling volgens een vast tijdschema en via een vaste route over een spoorweg zo snel mogelijk van station tot station te brengen: ook: een van de spoortreinen die volgens een vast dienstrooster over het spoor rijdt,exact
trein,noun,"19/|\De treinen in het alg., beschouwd als middel van vervoer.",geheel van spoorttreinen; de trein beschouwd als vervoermiddel; het spoor; de spoorwegsector; ook: bepaalde treindienst op het spoor; trein die op een bepaald traject rijdt,exact
compileren,verb,"1/|\(Werken, fragmenten uit werken van andere schrijvers) bijeenbrengen en tot één nieuw geheel samenvoegen; een compilatie of compilaties maken (van).","gegevens, teksten of muziekstukken bijeenbrengen en tot een nieuw geheel samenvoegen",exact
compileren,verb,1.a/|\Met de werken of geschriften die als bron worden gebruikt als obj.,"gegevens, teksten of muziekstukken bijeenbrengen en tot een nieuw geheel samenvoegen",narrower
compileren,verb,"1.b/|\Zonder uitgedrukt obj., in abs. gebr.","gegevens, teksten of muziekstukken bijeenbrengen en tot een nieuw geheel samenvoegen",narrower
spoor,noun,"1/|\Prikkel om een paard aan te drijven, die aan den hiel wordt gedragen en doorgaans bestaat uit een getand raadje.","metalen punt die of klein, getand rad dat wordt bevestigd aan de hiel van een rijlaars om daarmee een rijdier in de flanken aan te sporen; rijspoor",exact
spoor,noun,"2/|\In den vorm van het meerv. sporen als naam voor de wilde ridderspoor, Delphinium Consolida L. (HEUKELS 85 [1907]).",door lagere planten en schimmels afgescheiden voortplantingscel die zich tot een exemplaar kan ontwikkelen zonder eerst te versmelten met een andere cel; kiemcel,related
spoor,noun,7/|\Doornachtige uitwas aan de pooten van mannelijke hoenderachtige vogels.,"doornachtig uitsteeksel dat groeit aan de poten van mannelijke, hoenderachtige vogels",exact
spoor,noun,"8/|\Uitsteeksel aan een bloemkelk, dat min of meer den vorm heeft van een hanespoor.","hol, min of meer puntig en/of gebogen uitsteeksel aan de voet van bloembladen",exact
spoor,noun,"1/|\Voetafdruk of ander kenteeken dat een mensch of dier, soms ook een zaak, op zijn weg achterlaat.","afdruk op dan wel in de bodem of weg, respectievelijk een opeenvolgende reeks van dergelijke afdrukken, bij het stilstaan of voortbewegen achtergelaten door een voet, poot of de profielvorm van schoeisel, een wiel enz.",exact
spoor,noun,2/|\In vrijer gebruik. Blijk van zijn aanwezigheid dat een persoon of zaak achterlaat of vertoont.,aanwijzing of een reeks aanwijzingen die toelaat iemand of iets te vinden of iets te achterhalen,exact
spoor,noun,2/|\In vrijer gebruik. Blijk van zijn aanwezigheid dat een persoon of zaak achterlaat of vertoont.,"opeenvolgende reeks van merktekens in de vorm van geurpartikels die een dier, mens of zaak op een afgelegde route achterlaat en die door een dier met goede reukzin kan worden gevolgd; geurspoor",exact
spoor,noun,2/|\In vrijer gebruik. Blijk van zijn aanwezigheid dat een persoon of zaak achterlaat of vertoont.,"blijk van zijn aanwezigheid, handeling, werking of invloed die iemand of iets achterlaat of vertoont",exact
spoor,noun,3/|\Zeer kleine (niet in percenten uit te drukken) hoeveelheid van een bestanddeel.,"zeer kleine hoeveelheid van zeker bestanddeel in een stof, vaak achtergebleven als restant van een vroegere, grotere dosis",exact
spoor,noun,4/|\Door iemands gang of door herhaalde gangen gebaande weg.,"lange, smalle, geëffende of uitgediepte strook die is ontstaan door de gang van personen en dieren of door de baan van een wiel van een voertuig; bij uitbreiding ook: stel van dergelijke loopstroken of van twee of meer wielbanen naast elkaar, alsook het pad of de rijweg daardoor gevormd",exact
spoor,noun,"6/|\Stel van doorgaans twee rijen metalen staven, waarover rij- en voertuigen op wielen geleid worden. Gewoonlijk in toepassing op de staven met liggers, tusschenruimte enz.","weg, strook met een stel van doorgaans twee rijen metalen staven of rails waarover voertuigen op wielen geleid worden, zoals treinen en trams; eveneens in toepassing op de metalen staven zelf, al dan niet met inbegrip van de dwarsliggers daaronder",exact
spoor,noun,7/|\Spoorweg. Zie ook bij SPOOR (III).,netwerk van spoorwegen; spoorwegnetwerk,narrower
spoor,noun,"8/|\Spoortrein, trein. Zie ook bij SPOOR (III). Sommige plaatsen laten ook een opvatting in de bet. 7) toe.",spoortrein; trein,exact
wit,adjective,"I.1/|\De kleur hebbend van het ten volle teruggekaatst licht, die in de natuur eigen is aan sneeuw of melk.",de kleur hebbend van ten volle teruggekaatst licht; de lichtste kleur hebbend,exact
wit,adjective,I.1.a.β/|\(Meton.) Van personen: in het wit gekleed.,in het wit (gekleed); met witte kleren; in witte kleren; met witte accessoires; in het wit gehuld,exact
wit,adjective,"I.2/|\(Bij uitbr.) De kleur hebbend die wit (1) benadert, inz. in toep. op allerlei bleeke schakeeringen van geel en grijs of grauw, veelal gebruikt i.t.t. donkere variëteiten van dezelfde soort.",zeer licht (gekleurd); zeer licht van kleur; licht van tint,exact
wit,adjective,"I.2.a/|\Van de haren of van den drager ervan: grijs, grijswit.",met een witte vacht; met witte haren; met witte veren; met lichtgekleurde haren; met een lichtgekleurde vacht,exact
wit,adjective,I.3/|\Van de menschelijke huid: blank. Inz. in positieven zin als beantwoordend aan het klassieke schoonheidsideaal.,met inwoners met een van nature blanke huidskleur; vooral bedoeld voor mensen met een van nature blanke huidskleur; vervaardigd of uitgevoerd door mensen met een van nature blanke huidskleur; bestaand uit mensen met een van nature blanke huidskleur,related
wit,adjective,I.4/|\Van het Kaukasische menschenras: van nature een blanke huidskleur hebbend.,met inwoners met een van nature blanke huidskleur; vooral bedoeld voor mensen met een van nature blanke huidskleur; vervaardigd of uitgevoerd door mensen met een van nature blanke huidskleur; bestaand uit mensen met een van nature blanke huidskleur,exact
wit,adjective,I.4/|\Van het Kaukasische menschenras: van nature een blanke huidskleur hebbend.,met inwoners met een van nature blanke huidskleur; vooral bedoeld voor mensen met een van nature blanke huidskleur; vervaardigd of uitgevoerd door mensen met een van nature blanke huidskleur; bestaand uit mensen met een van nature blanke huidskleur,related
wit,adjective,I.5/|\Van het gezicht of van personen m. betr. t. het gezicht: tijdelijk met een bleeke kleur als gevolg van een plotselinge gemoedsaandoening of van ziekte.,bleek; met een bleek gezicht; met een bleek gelaat; zeer bleek,exact
wit,adjective,"IV.19/|\In geestelijken zin: zuiver, rein, onbevlekt, edel, verheven. Inz. als epitheton van deugd. Veroud.",goed; zuiver; onschuldig,exact
wit,adjective,"IV.20/|\Helder, onverduisterd in schijn of glans, transparant. Inz. van het daglicht. Veroud.",duidelijk; verklarend; doorzichtig; zichtbaar,narrower
wit,noun,"I/|\De witte (I, 1) kleur.",kleur van ten volle teruggekaatst licht; de lichtste kleur,broader
wit,noun,"I/|\De witte (I, 1) kleur.",lichte kleur,exact
wit,noun,"I.1/|\De witte (I, 1) kleur in het alg.; steeds genoemd in uitdr., zegsw. enz. i.t.t. zwart.",lichte kleur,exact
wit,noun,"I.1/|\De witte (I, 1) kleur in het alg.; steeds genoemd in uitdr., zegsw. enz. i.t.t. zwart.",kleur van ten volle teruggekaatst licht; de lichtste kleur,broader
wit,noun,I.2/|\Blankheid (van het gelaat). Veroud.,mensen met een van nature blanke huidskleur,exact
wit,noun,"I.3/|\Witte (I, 1, a) kleeding.",witte kleren; witte kleding,exact
wit,noun,I.3.b/|\Witte bekleeding.,lichtgekleurde stof die wordt gebruikt om iets wit te maken of stof die van zichzelf al wit of lichtgekleurd is,exact
wit,noun,"I.6.b/|\(Meton.) Met het wit (6, a) aangebrachte spatie(s) tusschen woorden en regels.",wit of lichtgekleurd gedeelte ergens van,related
wit,noun,I.7/|\(Meton.) Degene die in het dam- of schaakspel met de witte schijven of stukken speelt. Steeds zonder lidw.,"iemand die met de witte stukken speelt bij het schaken, het dammen of het bordspel go",exact
wit,noun,"II.8/|\Het witte (I) deel van het ei, in onderscheid met den dooier.",wit of lichtgekleurd gedeelte ergens van,related
wit,noun,II.9/|\Het witte (I) deel van den oogbol.,wit of lichtgekleurd gedeelte ergens van,related
wit,noun,II.12/|\Wittebrood.,witbrood; wit brood,exact
algemeen,adjective,"I.1.a/|\In betrekking tot het aantal personen, die aan iets deel hebben; t.w. aan eene handeling, ervaring, gewaarwording, gezindheid, hoedanigheid, toestand enz. Het tegenovergestelde van bijzonder.","van, bij of voor alle mensen, hetzij alle mensen zonder uitzondering, hetzij alle of de meeste personen binnen een bepaalde groep",exact
algemeen,adjective,"I.1.a.α.1°/|\Van handelingen, gewoonten enz. In veelvuldig gebruik zijn; bij de meesten in zwang of aan de meesten eigen zijn.",overal en/of veel voorkomend; wijdverspreid; wijdverbreid,exact
algemeen,adjective,"I.1.c/|\In betrekking tot den aard of het karakter van iets; t.w. van beschouwingen, gezegden, bedoelingen, begrippen, onderwerpen waarover men spreekt of schrijft, enz. Het geheel der zaak betreffende of daarover handelende, zich over alles uitstrekkende, zonder de bijzonderheden in aanmerking te nemen. Het tegenovergestelde zoowel van bijzonder als van bepaald.","het geheel beschouwend, zonder in bijzonderheden te treden; niet op details ingaand; niet specifiek omschreven; (nog) niet gespecificeerd, gespecialiseerd of geconcretiseerd; globaal",exact
algemeen,adjective,"II.1.a/|\Verg. bnw., 1, a). In zulk een ruimen kring, dat alle — of althans de meeste — personen er deel aan hebben; met deelneming van, door of bij allen, met eenparigheid.","van, bij of voor alle mensen, hetzij alle mensen zonder uitzondering, hetzij alle of de meeste personen binnen een bepaalde groep",exact
algemeen,adjective,"II.1.b/|\Verg. bnw., 1, b). In toepassing op alle voorkomende omstandigheden of gelegenheden, in alle gevallen.",voor alle specifieke gevallen geldig,exact
algemeen,adjective,"9)/|\Van zaken in den zin van: zeer veel voorkomend, niets bijzonders zijnd.",overal en/of veel voorkomend; wijdverspreid; wijdverbreid,exact
algemeen,noun,"1/|\Het geheel van eene zaak, waarover men spreekt of schrijft; het begrip van alles wat er toe behoort, in zijn ganschen omvang beschouwd, zonder de bijzonderheden in aanmerking te nemen. Verg. ALGEMEEN, bnw., 1, c). Alleen in de zegswijzen:",het geheel of de meeste gevallen samen,exact
algemeen,noun,"2/|\Collectieve benaming van alle menschen gezamenlijk, hetzij — in volstrekten zin — van het geheele menschelijk geslacht, hetzij — in betrekkelijke opvatting — van alle leden van een staat, gewest of gemeente; beschouwd, niet als eene eenheid, maar als de som van al de bijzondere personen, en in betrekking gedacht tot hunne behoeften en belangen, meeningen en inzichten, enz. Verg. ALGEMEEN, bnw., 1, a, α).",alle mensen samen; de maatschappij,exact
vlinderen,verb,"1/|\Zich bewegen of verplaatsen op de wijze van een vlinder, fladderen. Alleen in litt. taal.",zich bewegen of verplaatsen op de wijze van een vlinder; fladderen,exact
vlinderen,verb,"1.b/|\Oneig., met betr. tot de wijze waarop men zich in het leven, in de maatschappij of bij geestelijke bezigheden beweegt: ongestadig of luchtig van het een tot het ander overgaan, (rond)dartelen.","als een vlinder nergens lang bij blijven, maar ongestadig of luchtig van het een tot het ander overgaan; dartelen",exact
vlinderen,verb,3/|\Den vlinderslag gebruiken bij het zwemmen.,zwemmen met de vlinderslag,exact
