lemma,pos,semantic_relationship,sense_source,sense_target
superior,adjective,narrower,of or characteristic of high rank or importance,higher in rank or office; more exalted in dignity; .
superior,adjective,narrower,having a higher rank,higher in rank or office; more exalted in dignity; .
loch,noun,exact,a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked),a lake; a bay or arm of the sea.
cortege,noun,exact,a funeral procession,"a procession, especially a funeral procession following the casket carrying a dead person."
cortege,noun,exact,the group following and attending to some important person,a train of attendants; a group following and attending to some important person.
sod,noun,exact,surface layer of ground containing a mat of grass and grass roots,"that stratum of the surface of the soil which is filled with the roots of grass, or any portion of that surface; turf; sward."
buffoon,noun,exact,a person who amuses others by ridiculous behavior,"a man who makes a practice of amusing others by low tricks, antic gestures, etc.; a droll; a mimic; a harlequin; a clown; a merry-andrew."
delta,noun,exact,a low triangular area of alluvial deposits where a river divides before entering a larger body of water,"a tract of land shaped like the letter delta (&delta;), especially when the land is alluvial and inclosed between two or more mouths of a river; ."
sample,noun,narrower,all or part of a natural object that is collected and preserved as an example of its class,"a part of anything presented for inspection, or shown as evidence of the quality of the whole; a specimen; ."
sample,noun,narrower,a small part of something intended as representative of the whole,"a part of anything presented for inspection, or shown as evidence of the quality of the whole; a specimen; ."
sample,noun,narrower,items selected at random from a population and used to test hypotheses about the population,"a part of anything presented for inspection, or shown as evidence of the quality of the whole; a specimen; ."
entire,adjective,narrower,(of leaves or petals) having a smooth edge; not broken up into teeth or lobes,complete in all parts; undivided; undiminished; whole; full and perfect; not deficient;
entire,adjective,narrower,constituting the full quantity or extent; complete,complete in all parts; undivided; undiminished; whole; full and perfect; not deficient;
entire,adjective,narrower,constituting the undiminished entirety; lacking nothing essential especially not damaged,complete in all parts; undivided; undiminished; whole; full and perfect; not deficient;
entire,adjective,exact,(used of domestic animals) sexually competent,not gelded; -- said of a horse.
interconnected,adjective,exact,reciprocally connected,having internal connections between parts.
interconnected,adjective,exact,operating as a unit,operating as a unit.
rifleman,noun,exact,a soldier whose weapon is a rifle,a soldier armed with a rifle.
indo-european,adjective,narrower,of or relating to the Indo-European language family,"aryan; -- applied to the languages of india and europe which are derived from the prehistoric aryan language; also, pertaining to the people or nations who speak these languages; ."
indo-european,adjective,narrower,of or relating to the former Indo-European people,"aryan; -- applied to the languages of india and europe which are derived from the prehistoric aryan language; also, pertaining to the people or nations who speak these languages; ."
ponderable,adjective,exact,capable of being weighed or considered,capable of being weighed; having appreciable weight.
calamus,noun,exact,any tropical Asian palm of the genus Calamus; light tough stems are a source of rattan canes,"the indian cane, a plant of the palm family. it furnishes the common rattan. "
calamus,noun,narrower,the aromatic root of the sweet flag used medicinally,"a species of Acorus (corus calamus), commonly called calamus, or sweet flag. the root has a pungent, aromatic taste, and is used in medicine as a stomachic; the leaves have an aromatic odor, and were formerly used instead of rushes to strew on floors."
calamus,noun,narrower,perennial marsh plant having swordlike leaves and aromatic roots,"a species of Acorus (corus calamus), commonly called calamus, or sweet flag. the root has a pungent, aromatic taste, and is used in medicine as a stomachic; the leaves have an aromatic odor, and were formerly used instead of rushes to strew on floors."
calamus,noun,exact,the hollow spine of a feather,the horny basal portion of a feather; the barrel or quill.
greediness,noun,narrower,an excessive desire for wealth (usually in large amounts),the quality of being greedy; vehement and selfish desire.
greediness,noun,narrower,an excessive desire for food,the quality of being greedy; vehement and selfish desire.
evasive,adjective,exact,avoiding or escaping from difficulty or danger especially enemy fire,"tending to evade, or marked by evasion; elusive; shuffling; avoiding by artifice."
clapper,noun,narrower,metal striker that hangs inside a bell and makes a sound by hitting the side,"that which strikes or claps, as the tongue of a bell, or the piece of wood that strikes a mill hopper, etc. see  of ."
clapper,noun,exact,someone who applauds,a person who claps.
vulgar,adjective,exact,of or associated with the great masses of people,"of or pertaining to the mass, or multitude, of people; common; general; ordinary; public; hence, in general use; vernacular."
vulgar,adjective,exact,lacking refinement or cultivation or taste,"hence, lacking cultivation or refinement; rustic; boorish; also, offensive to good taste or refined feelings; low; coarse; mean; base; ."
gatherer,noun,exact,a person who gathers,one who gathers or collects.
fungi,noun,exact,an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia,"a group of thallophytic plant-like organisms of low organization, destitute of chlorophyll, in which reproduction is mainly accomplished by means of asexual spores, which are produced in a great variety of ways, though sexual reproduction is known to occur in certain , or so-called algal fungi. they include the molds, mildews, rusts, smuts, mushrooms, toadstools, puff balls, and the allies of each.  in the two-kingdom classification system they were classed with the plants, but in the modern five-kingdom classification, they are not classed as plants, but are classed in their own separate kingdom , which includes the phyla  (including simple fungi such as bread molds),  (including the yeasts),  (including the mushrooms, smuts, and rusts), and  (the ).  some of the forms, such as the yeasts, appear as single-celled microorganisms, but all of the fungi are are eukaryotic, thus distinguishing them from the prokaryotic microorganisms of the kingdon ."
command,noun,exact,the power or authority to command,the possession or exercise of authority.
command,noun,exact,a military unit or region under the control of a single officer,"a body of troops, or any naval or military force or post, or the whole territory under the authority or control of a particular officer."
command,noun,exact,an authoritative direction or instruction to do something,an authoritative order requiring obedience; a mandate; an injunction.
trend,noun,narrower,a general direction in which something tends to move,inclination in a particular direction; tendency; general direction; .
trend,noun,narrower,a general tendency to change (as of opinion),inclination in a particular direction; tendency; general direction; .
trend,noun,narrower,general line of orientation,inclination in a particular direction; tendency; general direction; .
minuscule,noun,exact,the characters that were once kept in bottom half of a compositor's type case,a small roman letter which is neither capital nor uncial; a manuscript written in such letters.
twang,verb,exact,sound with a twang,"to sound with a quick, harsh noise; to make the sound of a tense string pulled and suddenly let go; ."
twang,verb,exact,pluck (strings of an instrument),"to make to sound, as by pulling a tense string and letting it go suddenly."
cavity,noun,exact,space that is surrounded by something,a hollow place; a hollow; .
chinese,noun,exact,any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system,"the language of china, which is monosyllabic."
chinese,noun,exact,a native or inhabitant of Communist China or of Nationalist China,"a native or natives of china, or one of that yellow race with oblique eyelids who live principally in china."
fizzle,noun,exact,a complete failure,a failure or abortive effort; a fiasco.
amah,noun,exact,a female domestic,a female domestic.
amah,noun,exact,a woman hired to suckle a child of someone else,a woman hired to suckle a child of someone else.
protrude,verb,exact,extend out or project in space,to shoot out or forth; to be thrust forward; to extend beyond a limit; to project.
anaerobic,adjective,exact,living or active in the absence of free oxygen,not requiring air or oxygen for life; -- applied especially to those microbes to which free oxygen is unnecessary; ana&euml;robiotic; -- opposed to .
anaerobic,adjective,exact,not aerobic,"relating to, or like, ana&euml;robies; ana&euml;robiotic."
limber,verb,exact,cause to become limber,to cause to become limber; to make flexible or pliant.
limber,verb,exact,attach the limber,to attach to the limber; .
oblong,adjective,exact,deviating from a square or circle or sphere by being elongated in one direction,"having greater length than breadth, esp. when rectangular."
summons,noun,exact,a writ issued by authority of law; usually compels the defendant's attendance in a civil suit; failure to appear results in a default judgment against the defendant,"a warning or citation to appear in court; a written notification signed by the proper officer, to be served on a person, warning him to appear in court at a day specified, to answer to the plaintiff, testify as a witness, or the like."
abstract,adjective,narrower,not representing or imitating external reality or the objects of nature,considered apart from any application to a particular object; separated from matter; existing in the mind only; .  hence: ideal; abstruse; difficult.
abstract,adjective,narrower,existing only in the mind; separated from embodiment,considered apart from any application to a particular object; separated from matter; existing in the mind only; .  hence: ideal; abstruse; difficult.
abstract,adjective,narrower,dealing with a subject in the abstract without practical purpose or intention,considered apart from any application to a particular object; separated from matter; existing in the mind only; .  hence: ideal; abstruse; difficult.
gum,verb,exact,"cover, fill, fix or smear with or as if with gum",to smear with gum; to close with gum; to unite or stiffen by gum or a gumlike substance; to make sticky with a gumlike substance.
gum,verb,exact,grind with the gums; chew without teeth and with great difficulty,"to chew with the gums, rather than with the teeth."
gum,verb,exact,exude or form gum,to exude or form gum; to become gummy.
fathom,verb,exact,measure the depth of (a body of water) with a sounding line,"to measure by a sounding line; especially, to sound the depth of; to penetrate, measure, and comprehend; to get to the bottom of."
pettiness,noun,narrower,narrowness of mind or ideas or views,the quality or state of being petty or paltry; littleness; meanness.
plodder,noun,exact,someone who walks in a laborious heavy-footed manner,one who plods; a drudge.
ratio,noun,exact,"the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree","the relation which one quantity or magnitude has to another of the same kind. it is expressed by the quotient of the division of the first by the second; thus, the ratio of 3 to 6 is expressed by  or ; of  to  by ; or (less commonly) the second term is made the dividend; as, ."
ramify,verb,exact,grow and send out branches or branch-like structures,"to shoot, or divide, into branches or subdivisions, as the stem of a plant."
ramify,verb,exact,divide into two or more branches so as to form a fork,to divide into branches or subdivisions; .
jute,noun,exact,a plant fiber used in making rope or sacks,"the coarse, strong fiber of the east indian , and ; also, the plant itself. the fiber is much used for making mats, gunny cloth, cordage, hangings, paper, etc."
sport,noun,narrower,verbal wit or mockery (often at another's expense but not to be taken seriously),mock; mockery; contemptuous mirth; derision.
sport,noun,related,an active diversion requiring physical exertion and competition,"that which diverts, and makes mirth; pastime; amusement."
sport,noun,exact,someone who engages in sports,a sportsman; a gambler.
sport,noun,exact,(biology) an organism that has characteristics resulting from chromosomal alteration,"a plant or an animal, or part of a plant or animal, which has some peculiarity not usually seen in the species; an abnormal variety or growth. see , under ."
chair,noun,exact,"a seat for one person, with a support for the back",a movable single seat with a back.
chair,noun,exact,the officer who presides at the meetings of an organization,the presiding officer of an assembly; a chairman; .
chair,noun,narrower,the position of professor,"an official seat, as of a chief magistrate or a judge, but esp. that of a professor; hence, the office itself."
familial,adjective,exact,relating to or having the characteristics of a family,relating to or having the characteristics of a family; .
familial,adjective,exact,occurring among members of a family usually by heredity,"tending to occur among members of a family, usually by hereditary transmission; ."
treatment,noun,exact,the management of someone or something,the act or manner of treating; management; manipulation; handling; usage; .
overcloud,verb,exact,become covered with clouds,to cover or overspread with clouds; to becloud; to overcast.
formidable,adjective,exact,inspiring fear,"exciting fear or apprehension; impressing dread; adapted to excite fear and deter from approach, encounter, or undertaking; alarming."
cebuan,noun,exact,language of the people of Cebu in the Philippines; its lexicon contributes to the official language of the Philippines,the language of the people of cebu in the philippines; its lexicon contributes to the official language of the philippines.
cebuan,noun,exact,inhabitant of the island of Cebu; a member of the Visayan people of the Philippines,an inhabitant of the island of cebu; a member of the visayan (or bisayan) people of the philippines.
quarterly,adverb,exact,in three month intervals,by quarters; once in a quarter of a year; .
blab,verb,exact,divulge confidential information or secrets,"to utter or tell unnecessarily, or in a thoughtless manner; to publish (secrets or trifles) without reserve or discretion; -- sometimes used with ."
blab,verb,exact,speak (about unimportant matters) rapidly and incessantly,to talk thoughtlessly or without discretion; to tattle; to tell tales.
cordial,adjective,exact,diffusing warmth and friendliness,"tending to revive, cheer, or invigorate; giving strength or spirits."
cordial,adjective,exact,sincerely or intensely felt,hearty; sincere; warm; affectionate.
pooh-pooh,verb,narrower,reject with contempt,"to make light of; to treat with derision or contempt,"
pooh-pooh,verb,narrower,express contempt about,"to make light of; to treat with derision or contempt,"
too,adverb,exact,to a degree exceeding normal or proper limits,over; more than enough; -- noting excess; .
too,adverb,exact,in addition,likewise; also; in addition.
nightcap,noun,exact,an alcoholic drink taken at bedtime; often alcoholic,an alcoholic beverage drunk at bedtime.
nightcap,noun,exact,a cloth cap worn in bed,"a cap worn in bed to protect the head, or in undress."
pear,noun,narrower,Old World tree having sweet gritty-textured juicy fruit; widely cultivated in many varieties,"the fleshy pome, or fruit, of a rosaceous tree (), cultivated in many varieties in temperate climates; also, the tree which bears this fruit. see , below."
pear,noun,narrower,sweet juicy gritty-textured fruit available in many varieties,"the fleshy pome, or fruit, of a rosaceous tree (), cultivated in many varieties in temperate climates; also, the tree which bears this fruit. see , below."
minuteness,noun,exact,the property of being very small in size,the quality of being minute.
bimillenary,noun,exact,a span of 2000 years,a span of 2000 years.
hire,verb,narrower,engage or hire for work,"to engage or purchase the service, labor, or interest of (any one) for a specific purpose, by payment of wages; ."
hire,verb,narrower,engage for service under a term of contract,"to engage or purchase the service, labor, or interest of (any one) for a specific purpose, by payment of wages; ."
fit,verb,exact,be agreeable or acceptable to,to be suitable to; to answer the requirements of; to be correctly shaped and adjusted to; .
fit,verb,narrower,make correspond or harmonize,"to bring to a required form and size; to shape aright; to adapt to a model; to adjust; -- said especially of the work of a carpenter, machinist, tailor, etc."
fit,verb,exact,"be compatible, similar or consistent; coincide in their characteristics",to be proper or becoming.
fit,verb,narrower,satisfy a condition or restriction,to be adjusted to a particular shape or size; to suit; to be adapted; .
fit,verb,narrower,be the right size or shape; fit correctly or as desired,to be adjusted to a particular shape or size; to suit; to be adapted; .
fit,verb,exact,make fit,to make fit or suitable; to adapt to the purpose intended; to qualify; to put into a condition of readiness or preparation.
fit,verb,narrower,conform to some shape or size,"to bring to a required form and size; to shape aright; to adapt to a model; to adjust; -- said especially of the work of a carpenter, machinist, tailor, etc."
fit,verb,exact,provide with (something) usually for a specific purpose,"to supply with something that is suitable or fit, or that is shaped and adjusted to the use required."
unclothe,verb,narrower,get undressed,to strip of clothes or covering; to make naked.
unclothe,verb,narrower,strip,to strip of clothes or covering; to make naked.
sisterhood,noun,exact,an association or society of women who are linked together by a common religion or trade or interest,"a society of sisters; a society of women united in one faith or order; sisters, collectively."
sisterhood,noun,exact,the kinship relation between a female offspring and the siblings,the state or relation of being a sister; the office or duty of a sister.
very,adjective,related,precisely as stated,true; real; actual; veritable.
cryptograph,noun,narrower,a piece of writing in code or cipher,cipher; something written in cipher.
cryptograph,noun,narrower,a secret method of writing,cipher; something written in cipher.
recognition,noun,narrower,coming to understand something clearly and distinctly,"the act of recognizing, or the state of being recognized; acknowledgment; formal avowal; knowledge confessed or avowed; notice."
recognition,noun,narrower,the state or quality of being recognized or acknowledged,"the act of recognizing, or the state of being recognized; acknowledgment; formal avowal; knowledge confessed or avowed; notice."
recognition,noun,narrower,the process of recognizing something or someone by remembering,"the act of recognizing, or the state of being recognized; acknowledgment; formal avowal; knowledge confessed or avowed; notice."
ptomaine,noun,exact,any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria,"one of a class of animal bases or alkaloids formed in the putrefaction of various kinds of albuminous matter, and closely related to the vegetable alkaloids; a cadaveric poison.  the ptomaines, as a class, have their origin in dead matter, by which they are to be distinguished from the ."
descendent,adjective,narrower,going or coming down,descending; falling; proceeding from an ancestor or source.
descendent,adjective,narrower,proceeding by descent from an ancestor,descending; falling; proceeding from an ancestor or source.
fail,verb,narrower,prove insufficient,"to be wanting; to fall short; to be or become deficient in any measure or degree up to total absence; to cease to be furnished in the usual or expected manner, or to be altogether cut off from supply; to be lacking;"
fail,verb,broader,get worse,to fall away; to become diminished; to decline; to decay; to sink.
fail,verb,broader,get worse,"to deteriorate in respect to vigor, activity, resources, etc.; to become weaker; ."
fail,verb,exact,become bankrupt or insolvent; fail financially and close,"to become unable to meet one's engagements; especially, to be unable to pay one's debts or discharge one's business obligation; to become bankrupt or insolvent; ."
fail,verb,exact,fall short in what is expected,"to be found wanting with respect to an action or a duty to be performed, a result to be secured, etc.; to miss; not to fulfill expectation."
fail,verb,exact,"disappoint, prove undependable to; abandon, forsake",to be wanting to ; to be insufficient for; to disappoint; to desert.
fail,verb,exact,be unsuccessful,to come short of a result or object aimed at or desired ; to be baffled or frusrated.
fail,verb,exact,fail to do something; leave something undone,to miss of attaining; to lose.
pragmatist,noun,exact,a person who takes a practical approach to problems and is concerned primarily with the success or failure of her actions,one who is pragmatic.
mimosa,noun,narrower,evergreen Australasian tree having white or silvery bark and young leaves and yellow flowers,"a genus of leguminous plants, containing many species, and including the sensitive plants (, and )."
mimosa,noun,narrower,any of various tropical shrubs or trees of the genus Mimosa having usually yellow flowers and compound leaves,"a genus of leguminous plants, containing many species, and including the sensitive plants (, and )."
acentric,adjective,exact,not centered or having no center,not centered; without a center.
slush,verb,broader,spill or splash copiously or clumsily,to smear with slush or grease; .
snatcher,noun,narrower,someone who unlawfully seizes and detains a victim (usually for ransom),"one who snatches, or takes abruptly."
snatcher,noun,narrower,a thief who grabs and runs,"one who snatches, or takes abruptly."
ready-made,adjective,exact,made for purchase and immediate use,"made already, or beforehand, in anticipation of need; not made to order;"
merriment,noun,exact,a gay feeling,"gayety, with laughter; mirth; frolic."
pole,noun,exact,a linear measure of 16.5 feet,"a measuring stick; also, a measure of length equal to 5&unr_; yards, or a square measure equal to 30&unr_; square yards; a rod; a perch."
pole,noun,exact,a long (usually round) rod of wood or metal or plastic,"a long, slender piece of wood; a tall, slender piece of timber; the stem of a small tree whose branches have been removed; .  a flag pole, a pole on which a flag is supported.  a maypole. a barber's pole, a pole painted in stripes, used as a sign by barbers and hairdressers.  a pole on which climbing beans, hops, or other vines, are trained."
pole,noun,narrower,one of two divergent or mutually exclusive opinions,"one of the opposite or contrasted parts or directions in which a polar force is manifested; a point of maximum intensity of a force which has two such points, or which has polarity;"
pole,noun,exact,a native or inhabitant of Poland,a native or inhabitant of poland; a polander.
pole,noun,narrower,one of the two ends of a magnet where the magnetism seems to be concentrated,"one of the opposite or contrasted parts or directions in which a polar force is manifested; a point of maximum intensity of a force which has two such points, or which has polarity;"
pole,noun,narrower,one of two antipodal points where the Earth's axis of rotation intersects the Earth's surface,"either extremity of an axis of a sphere; especially, one of the extremities of the earth's axis; ."
celebrate,verb,related,assign great social importance to,to extol or honor in a solemn manner; .
celebrate,verb,exact,behave as expected during of holidays or rites,"to perform or participate in, as a sacrament or solemn rite; to solemnize; to perform with appropriate rites; ."
celebrate,verb,related,have a celebration,"to honor by solemn rites, by ceremonies of joy and respect, or by refraining from ordinary business; to observe duly; to keep; ."
unsuccessful,adjective,exact,not successful; having failed or having an unfavorable outcome,"not successful; not producing the desired event; not fortunate; meeting with, or resulting in, failure; unlucky; unhappy."
hindustani,noun,exact,a form of Hindi spoken around Delhi,a form of hindi spoken around delhi.
hindustani,noun,exact,a native or inhabitant of Hindustan or India,a native or inhabitant of hindustan or india.
still,noun,exact,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,"a vessel, boiler, or copper used in the distillation of liquids; specifically, one used for the distillation of alcoholic liquors; a retort. the name is sometimes applied to the whole apparatus used in in vaporization and condensation."
still,noun,exact,(poetic) tranquil silence,freedom from noise; calm; silence; .
still,noun,exact,a plant and works where alcoholic drinks are made by distillation,a house where liquors are distilled; a distillery.
glow,verb,exact,"shine intensely, as if with heat",to shine with an intense or white heat; to give forth vivid light and heat; to be incandescent.
glow,verb,exact,"experience a feeling of well-being or happiness, as from good health or an intense emotion","to feel the heat of passion; to be animated, as by intense love, zeal, anger, etc.; to rage, as passior; ."
glow,verb,exact,emit a steady even light without flames,"to exhibit a strong, bright color; to be brilliant, as if with heat; to be bright or red with heat or animation, with blushes, etc."
assert,verb,exact,insist on having one's opinions and rights recognized,"to maintain or defend, as a cause or a claim, by words or measures; to vindicate a claim or title to; ."
assert,verb,exact,to declare or affirm solemnly and formally as true,"to affirm; to declare with assurance, or plainly and strongly; to state positively; to aver; to asseverate."
lapse,verb,broader,"drop to a lower level, as in one's morals or standards",to slide or slip in moral conduct; to fail in duty; to fall from virtue; to deviate from rectitude; to commit a fault by inadvertence or mistake.
lapse,verb,exact,let slip,to let slip; to permit to devolve on another; to allow to pass.
lapse,verb,related,pass by,"to pass slowly and smoothly downward, backward, or away; to slip downward, backward, or away; to glide; -- mostly restricted to figurative uses."
work,verb,narrower,be employed,to carry on business; to be engaged or employed customarily; to perform the part of a laborer; to labor; to toil.
work,verb,narrower,have an effect or outcome; often the one desired or expected,"hence, figuratively, to be effective; to have effect or influence; to conduce."
work,verb,exact,exert oneself by doing mental or physical work for a purpose or out of necessity,"to exert one's self for a purpose; to put forth effort for the attainment of an object; to labor; to be engaged in the performance of a task, a duty, or the like."
work,verb,exact,"shape, form, or improve a material","to labor or operate upon; to give exertion and effort to; to prepare for use, or to utilize, by labor."
work,verb,narrower,"operate in a certain place, area, or specialty",to carry on business; to be engaged or employed customarily; to perform the part of a laborer; to labor; to toil.
work,verb,exact,cause to undergo fermentation,"to cause to ferment, as liquor."
work,verb,exact,go sour or spoil,"to ferment, as a liquid."
work,verb,exact,perform as expected when applied,"hence, in a general sense, to operate; to act; to perform; ."
work,verb,narrower,use or manipulate to one's advantage,to influence by acting upon; to prevail upon; to manage; to lead.
work,verb,exact,cause to operate or function,to set in motion or action; to direct the action of; to keep at work; to govern; to manage; .
work,verb,narrower,"gratify and charm, usually in order to influence","hence, figuratively, to be effective; to have effect or influence; to conduce."
work,verb,narrower,provoke or excite,"hence, figuratively, to be effective; to have effect or influence; to conduce."
work,verb,exact,"make something, usually for a specific function",to produce or form by labor; to bring forth by exertion or toil; to accomplish; to originate; to effect;
work,verb,narrower,have and exert influence or effect,"hence, figuratively, to be effective; to have effect or influence; to conduce."
segment,verb,exact,divide into segments,"to divide or separate into parts in growth; to undergo segmentation, or cleavage, as in the segmentation of the ovum."
corporate,adjective,related,done by or characteristic of individuals acting together,united; general; collectively one.
corporate,adjective,exact,organized and maintained as a legal corporation,"formed into a body by legal enactment; united in an association, and endowed by law with the rights and liabilities of an individual; incorporated; ."
corporate,adjective,exact,of or belonging to a corporation,belonging to a corporation or incorporated body.
hearty,adjective,exact,showing warm and heartfelt friendliness,"pertaining to, or proceeding from, the heart; warm; cordial; bold; zealous; sincere; willing; also, energetic; active; eager;"
hearty,adjective,exact,endowed with or exhibiting great bodily or mental health,exhibiting strength; sound; healthy; firm; not weak; .
soliloquy,noun,exact,speech you make to yourself,the act of talking to one's self; a discourse made by one in solitude to one's self; monologue.
soliloquy,noun,exact,a (usually long) dramatic speech intended to give the illusion of unspoken reflections,"a written composition, reciting what it is supposed a person says to himself."
bushwhack,verb,exact,wait in hiding to attack,"to lie in ambush for, lie in wait for."
bushwhack,verb,exact,live in the bush as a fugitive or as a guerilla,to live in the bush as a fugitive or as a guerilla.
bushwhack,verb,exact,cut one's way through the woods or bush,to cut one's way through the woods or bush.
sapodilla,noun,narrower,large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras,"a tall, evergeen, tropical american tree (); also, its edible fruit, the sapodilla plum."
sapodilla,noun,narrower,tropical fruit with a rough brownish skin and very sweet brownish pulp,"a tall, evergeen, tropical american tree (); also, its edible fruit, the sapodilla plum."
spoil,verb,exact,destroy and strip of its possession,to plunder; to strip by violence; to pillage; to rob; -- with  before the name of the thing taken; .
spoil,verb,narrower,become unfit for consumption or use,to lose the valuable qualities; to be corrupted; to decay; .
spoil,verb,related,"make a mess of, destroy or ruin",to cause to decay and perish; to corrupt; to vitiate; to mar.
spoil,verb,related,"make a mess of, destroy or ruin",to render useless by injury; to injure fatally; to ruin; to destroy;
deep,adjective,exact,having or denoting a low vocal or instrumental range,of low tone; full-toned; not high or sharp; grave; heavy.
deep,adjective,exact,having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination,"extending far below the surface; of great perpendicular dimension (measured from the surface downward, and distinguished from , which is measured upward); far to the bottom; having a certain depth; ."
deep,adjective,exact,exhibiting great cunning usually with secrecy,profound; thorough; complete; unmixed; intense; heavy; heartfelt;
deep,adjective,exact,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,hard to penetrate or comprehend; profound; -- opposed to  or ; intricate; mysterious; not obvious; obscure; .
deep,adjective,exact,extending relatively far inward,"extending far back from the front or outer part; of great horizontal dimension (measured backward from the front or nearer part, mouth, etc.);"
conglobation,noun,exact,a rounded spherical form,a round body.
conglobation,noun,exact,an occurrence combining miscellaneous things into a (more or less) rounded mass,the act or process of forming into a ball.
domestic,adjective,broader,converted or adapted to domestic use,living in or near the habitations of man; domesticated; tame as distinguished from wild; .
domestic,adjective,exact,produced in a particular country,"made in one's own house, nation, or country;"
domestic,adjective,exact,of or relating to the home,"of or pertaining to one's house or home, or one's household or family; relating to home life; ."
domestic,adjective,broader,of or involving the home or family,remaining much at home; devoted to home duties or pleasures; .
domestic,adjective,exact,of concern to or concerning the internal affairs of a nation,"of or pertaining to a nation considered as a family or home, or to one's own country; intestine; not foreign; ."
want,noun,exact,the state of needing something that is absent or unavailable,the state of not having; the condition of being without anything; absence or scarcity of what is needed or desired; deficiency; lack;
want,noun,exact,anything that is necessary but lacking,"that which is needed or desired; a thing of which the loss is felt; what is not possessed, and is necessary for use or pleasure."
want,noun,exact,a state of extreme poverty,"specifically, absence or lack of necessaries; destitution; poverty; penury; indigence; need."
orphanage,noun,exact,the condition of being a child without living parents,"the state of being an orphan; orphanhood; orphans, collectively."
orphanage,noun,exact,a public institution for the care of orphans,an institution or asylum for the care of orphans.
clowning,noun,exact,acting like a clown or buffoon,acting like a clown or buffoon.
clowning,noun,exact,a comic incident or series of incidents,a comic incident or series of incidents.
change,noun,broader,the action of changing something,a succesion or substitution of one thing in the place of another; a difference; novelty; variety; .
change,noun,exact,a relational difference between states; especially between states before and after some event,a passing from one phase to another; .
change,noun,exact,the result of alteration or modification,any variation or alteration; a passing from one state or form to another; .
change,noun,exact,coins of small denomination regarded collectively,"small money; the money by means of which the larger coins and bank bills are made available in small dealings; hence, the balance returned when payment is tendered by a coin or note exceeding the sum due."
discourteous,adjective,exact,showing no courtesy; rude,uncivil; rude; wanting in courtesy or good manners; uncourteous.
shop,verb,exact,do one's shopping,to visit shops for the purpose of purchasing goods.
outcome,noun,exact,something that results,"that which comes out of, or follows from, something else; issue; result; consequence; upshot."
slicer,noun,narrower,"knife especially designed for slicing particular foods, as cheese","one who, or that which, slices; specifically, the circular saw of the lapidary."
slicer,noun,narrower,a machine for cutting; usually with a revolving blade,"one who, or that which, slices; specifically, the circular saw of the lapidary."
papyrus,noun,exact,paper made from the papyrus plant by cutting it in strips and pressing it flat; used by ancient Egyptians and Greeks and Romans,"the material upon which the ancient egyptians wrote. it was formed by cutting the stem of the plant into thin longitudinal slices, which were gummed together and pressed."
papyrus,noun,exact,tall sedge of the Nile valley yielding fiber that served many purposes in historic times,"a tall rushlike plant () of the sedge family, formerly growing in egypt, and now found in abyssinia, syria, sicily, etc. the stem is triangular and about an inch thick."
papyrus,noun,exact,a document written on papyrus,"a manuscript written on papyrus; esp., , written scrolls made of papyrus; ."
figurehead,noun,narrower,a person used as a cover for some questionable activity,"a person who allows his name to be used to give standing to enterprises in which he has no responsible interest or duties; a nominal, but not real, head or chief."
figurehead,noun,exact,figure on the bow of some sailing vessels,"the figure, statue, or bust, on the prow of a ship."
pool,noun,exact,a small lake,"a small and rather deep collection of (usually) fresh water, as one supplied by a spring, or occurring in the course of a stream; a reservoir for water; ."
pool,noun,narrower,any of various games played on a pool table having 6 pockets,"a game at billiards, in which each of the players stakes a certain sum, the winner taking the whole; also, in public billiard rooms, a game in which the loser pays the entrance fee for all who engage in the game; a game of skill in pocketing the balls on a pool table."
pool,noun,narrower,an association of companies for some definite purpose,"a combination of persons contributing money to be used for the purpose of increasing or depressing the market price of stocks, grain, or other commodities; also, the aggregate of the sums so contributed;"
pool,noun,exact,any communal combination of funds,"an aggregation of properties or rights, belonging to different people in a community, in a common fund, to be charged with common liabilities."
pool,noun,broader,the combined stakes of the betters,"the stake played for in certain games of cards, billiards, etc.; an aggregated stake to which each player has contributed a snare; also, the receptacle for the stakes."
pool,noun,exact,a small body of standing water (rainwater) or other liquid,a small body of standing or stagnant water; a puddle.
wardrobe,noun,exact,collection of clothing belonging to one person,"wearing apparel, in general; articles of dress or personal decoration."
wardrobe,noun,narrower,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,"a room or apartment where clothes are kept, or wearing apparel is stored; a portable closet for hanging up clothes."
bring,verb,exact,induce or persuade,to persuade; to induce; to draw; to lead; to guide.
bring,verb,exact,take something or somebody with oneself somewhere,to convey to the place where the speaker is or is to be; to bear from a more distant to a nearer place; to fetch.
